"id","title","years","duration","rating","people_rating","critic_rating","votes"
1833,"An American Pickle","2020","88","12A","5.7","58","25,811"
1834,"Constantine 2",NULL,"N/A",NULL,NULL,NULL,"N/A"
1835,"The Boondock Saints","1999","108","18","7.7","44","247,321"
1836,"Drag Me to Hell","2009","99","15","6.6","83","215,024"
1837,"The Portable Door","2023","116","PG","6.1",NULL,"8,087"
1838,"Batman Forever","1995","121","12","5.4","54","263,597"
1839,"The Blues Brothers","1980","133","AA","7.9","60","210,238"
1840,"Vertigo","1958","128","A","8.3","100","420,163"
1841,"Hackers","1995","105","12","6.2","46","73,393"
1842,"Collateral","2004","120","15","7.5","71","426,267"
1843,"Redeeming Love","2022","134","15","6.7","32","11,217"
1844,"Bulbbul","2020","94","18","6.5",NULL,"13,680"
1845,"Elysium","2013","109","15","6.6","61","465,518"
1846,"Sicario 2: Soldado","2018","122","15","7.1","61","162,309"
1847,"Black Christmas","2019","92","15","3.5","49","18,338"
1848,"Rocky Aur Rani Kii Prem Kahaani","2023","168","12A","6.7",NULL,"39,363"
1849,"Winnie-The-Pooh: Blood and Honey 2","2024","N/A",NULL,NULL,NULL,"N/A"
1850,"21 Jump Street","2012","109","15","7.2","69","588,373"
1851,"Argo","2012","120","15","7.7","86","632,706"
1852,"Love Lies Bleeding","2024","104","R",NULL,NULL,"N/A"
1853,"The Machinist","2004","101","15","7.6","61","409,842"
1854,"Super Mario Bros.","1993","104","PG","4.1","35","61,997"
1855,"The Emperor's New Groove","2000","78","U","7.4","70","220,278"
1856,"Marie Antoinette","2006","123","12A","6.5","65","118,942"
1857,"Toy Story 4","2019","100","U","7.7","84","272,701"
1858,"The Crow","1994","102","18","7.5","71","195,407"
1859,"Vikram","2022","175","15","8.3",NULL,"70,925"
1860,"Madagascar","2005","86","U","6.9","57","428,401"
1861,"Cars 3","2017","102","U","6.7","59","116,320"
1862,"Hustlers","2019","110","15","6.3","79","105,972"
1863,"Rain Man","1988","133","15","8.0","65","537,714"
1864,"The Shop Around the Corner","1940","99","U","8.0","96","36,904"
1865,"Terminator 3: Rise of the Machines","2003","109","12A","6.3","66","414,431"
1866,"Mission: Impossible - Dead Reckoning Part Two","2025","N/A",NULL,NULL,NULL,"N/A"
1867,"Real Steel","2011","127","12A","7.1","56","349,579"
1868,"The Pursuit of Happyness","2006","117","12A","8.0","64","548,401"
1869,"Citizen Kane","1941","119","A","8.3","100","459,621"
1870,"John Carter","2012","132","12A","6.6","51","283,091"
1871,"6 Underground","2019","128","15","6.1","41","192,226"
1872,"Inferno","2016","121","12A","6.2","42","186,712"
1873,"Remember Me","2010","113","12A","7.1","40","154,150"
1874,"Deep Impact","1998","120","12","6.2","40","187,530"
1875,"Lethal Weapon 5",NULL,"N/A",NULL,NULL,NULL,"N/A"
1876,"Thelma & Louise","1991","130","15","7.6","89","167,930"
1877,"Mars Attacks!","1996","106","12","6.4","52","239,966"
1878,"Deliverance","1972","109","18","7.7","80","117,470"
1879,"The Three Musketeers","2011","110","12A","5.7","35","111,153"
1880,"Spy","2015","120","15","7.0","75","255,351"
1881,"Pinocchio","2022","117","PG","7.6","79","107,622"
1882,"As Good as It Gets","1997","139","15","7.7","67","313,860"
1883,"Daddy's Home","2015","96","12A","6.2","42","126,861"
1884,"The Wrath of Becky","2023","84","18","6.1","51","9,961"
1885,"Fast & Furious 8","2017","136","12A","6.6","56","249,133"
1886,"Level 16","2018","102","15","6.1","46","15,455"
1887,"Aladdin","1992","90","U","8.0","86","454,948"
1888,"Public Enemies","2009","140","15","7.0","70","314,936"
1889,"An Unfinished Life","2005","108","12A","7.0","49","33,033"
1890,"Crash","1996","100","18","6.4","53","65,118"
1891,"The Hitchhiker's Guide to the Galaxy","2005","109","PG","6.7","63","206,070"
1892,"Insurgent","2015","119","12A","6.2","42","250,842"
1893,"The Beach","2000","119","15","6.6","43","250,421"
1894,"Fences","2016","139","12A","7.2","79","115,769"
1895,"The Blind","2023","108","PG-13","6.1",NULL,"1,461"
1896,"Burn After Reading","2008","96","15","7.0","63","347,730"
1897,"The Longest Ride","2015","123","15","7.0","33","87,374"
1898,"Enola Holmes","2020","123","12","6.6","68","212,704"
1899,"Big George Foreman","2023","129","12A","6.6","45","7,040"
1900,"Sound of Metal","2019","120","15","7.7","82","145,002"
1901,"Empire Records","1995","90","12","6.7","47","60,358"
1902,"Fried Green Tomatoes at the Whistle Stop Cafe","1991","130","12","7.7","64","80,434"
1903,"Annie","1982","126","U","6.6","39","48,415"
1904,"A Bridge Too Far","1977","175","15","7.4","63","60,500"
1905,"The Sandlot Kids","1993","101","PG","7.8","55","100,223"
1906,"The Great Escaper","2023","96","12A","7.0","67","2,359"
1907,"Beerfest","2006","110","18","6.2","46","70,830"
1908,"Disobedience","2017","114","15","6.6","74","34,685"
1909,"The Green Inferno","2013","100","18","5.3","38","48,243"
1910,"The Empty Man","2020","137","18","6.2",NULL,"36,551"
1911,"The Wild One","1953","79","PG","6.7","67","17,152"
1912,"Resident Evil","2002","100","15","6.6","33","283,873"
1913,"Vanilla Sky","2001","136","15","6.9","45","281,900"
1914,"Hugo","2011","126","U","7.5","83","333,628"
1915,"Corpse Bride","2005","77","PG","7.4","83","294,030"
1916,"The Next 365 Days","2022","112","18","2.8",NULL,"9,133"
1917,"El Camino: A Breaking Bad Movie","2019","122","15","7.3","72","282,381"
1918,"Pixels","2015","105","12A","5.6","27","155,586"
1919,"Live and Let Die","1973","121","A","6.7","55","113,744"
1920,"A Quiet Place Part II","2020","97","15","7.2","71","263,373"
1921,"Underworld","2003","121","15","7.0","42","281,711"
1922,"Young Guns","1988","107","18","6.8","50","66,572"
1923,"The Twilight Saga: New Moon","2009","130","12A","4.8","44","296,145"
1924,"Hidden Strike","2023","102","12","5.3",NULL,"16,838"
1925,"The Eiger Sanction","1975","129","AA","6.4","61","21,834"
1926,"Golda","2023","100","12A","5.9","48","7,860"
1927,"Pirates of the Caribbean: At World's End","2007","169","12A","7.1","50","681,762"
1928,"The Mother","2023","115","15","5.6","45","44,055"
1929,"Secondhand Lions","2003","111","12","7.5","52","60,529"
1930,"North by Northwest","1959","136","A","8.3","98","341,127"
1931,"Marlowe","2022","109","15","5.3","41","9,082"
1932,"Shrek 2","2004","93","U","7.3","75","494,349"
1933,"See How They Run","2022","98","12A","6.5","60","61,105"
1934,"The Waterboy","1998","90","12","6.1","41","174,954"
1935,"Climax","2018","97","18","6.9","67","76,952"
1936,"Definitely, Maybe","2008","112","12A","7.1","59","171,731"
1937,"David Holmes: The Boy Who Lived","2023","87",NULL,"7.8","71","2,023"
1938,"You Should Have Left","2020","93","18","5.4","46","24,782"
1939,"X-Men: The Last Stand","2006","104","12A","6.6","58","534,507"
1940,"Zoolander","2001","90","12","6.5","61","287,015"
1941,"Rampage","2018","107","12A","6.1","45","181,413"
1942,"Mob Land","2023","111","15","5.2","47","1,805"
1943,"The Incredible Hulk","2008","112","12A","6.6","61","516,510"
1944,"Fire and Ice","1983","81","PG","6.5","45","12,162"
1945,"10 Cloverfield Lane","2016","103","12A","7.2","76","348,271"
1946,"The Amazing Spider-Man 2","2014","142","12A","6.6","53","528,092"
1947,"The Conjuring 2","2016","134","15","7.3","65","294,334"
1948,"Infinite","2021","106","12","5.5","28","59,112"
1949,"A California Christmas","2020","106","12","5.8",NULL,"11,072"
1950,"Midway","2019","138","12A","6.7","47","92,548"
1951,"G.I. Joe: The Rise of Cobra","2009","118","12A","5.7","32","213,781"
1952,"Grindhouse","2007","191","18","7.5","77","189,582"
1953,"The Sugarland Express","1974","110","AA","6.7","65","18,711"
1954,"Toy Story 2","1999","92","U","7.9","88","609,566"
1955,"Escape Room","2019","99","15","6.4","48","138,227"
1956,"The Contractor","2022","103","15","5.8","52","26,629"
1957,"Transformers: Age of Extinction","2014","165","12A","5.6","32","328,284"
1958,"Boston Strangler","2023","112","16","6.5","58","30,362"
1959,"Waitress","2007","108","12A","7.0","75","48,351"
1960,"The Promised Land","2023","127",NULL,"7.8","75","1,261"
1961,"Sex Drive","2008","109","15","6.5","49","90,799"
1962,"MaXXXine","2024","N/A",NULL,NULL,NULL,"N/A"
1963,"Gattaca","1997","106","15","7.7","64","318,238"
1964,"Perfect Blue","1997","81","18","8.0","67","90,424"
1965,"Who Framed Roger Rabbit","1988","104","PG","7.7","83","213,173"
1966,"Missing","2023","111","15","7.1","66","53,925"
1967,"Yesterday","2019","116","12A","6.8","55","162,749"
1968,"This Is the End","2013","107","15","6.6","67","429,698"
1969,"Emma.","2020","124","U","6.7","71","60,596"
1970,"The Fall of Minneapolis","2023","102",NULL,"8.3",NULL,"474"
1971,"Fifty Shades Darker","2017","118","18","4.6","33","109,236"
1972,"The Evil Dead","1981","85","18","7.4","71","228,852"
1973,"Bruce Almighty","2003","101","12A","6.8","46","425,446"
1974,"Sanctuary","2022","96","18","6.3","67","6,687"
1975,"Moneyball","2011","133","12A","7.6","87","454,345"
1976,"Bad Boys","1995","119","18","6.8","41","281,150"
1977,"Revolutionary Road","2008","119","15","7.3","69","222,292"
1978,"Crimes of the Future","2022","107","18","5.8","67","38,795"
1979,"M*A*S*H","1970","116","15","7.4","80","75,952"
1980,"Norbit","2007","103","12A","4.2","27","78,386"
1981,"Hostiles","2017","134","15","7.2","65","93,296"
1982,"300: Rise of an Empire","2014","102","15","6.2","48","312,481"
1983,"The Expendables","2010","103","18","6.4","45","360,951"
1984,"The Chronicles of Riddick","2004","119","15","6.6","38","239,204"
1985,"Species","1995","108","18","5.9","49","84,144"
1986,"Big Trouble in Little China","1986","99","15","7.2","53","150,884"
1987,"Mandy","2018","121","18","6.5","82","87,000"
1988,"The Long Kiss Goodnight","1996","121","18","6.8","43","84,053"
1989,"The Girl on the Train","2016","112","15","6.5","48","196,528"
1990,"Footloose","1984","107","12A","6.6","42","88,862"
1991,"Moonstruck","1987","102","PG","7.1","83","65,676"
1992,"Coming to America","1988","117","15","7.1","47","219,735"
1993,"The Toxic Avenger","2023","102","R","5.9","66","360"
1994,"Spectral","2016","107","12","6.3",NULL,"63,445"
1995,"Halloween","1978","91","X","7.7","87","302,186"
1996,"God Is a Bullet","2023","156","18+","5.6","31","4,444"
1997,"Lie with Me","2005","93","18","5.2",NULL,"16,466"
1998,"The Living Daylights","1987","130","PG","6.7","59","104,319"
1999,"American Made","2017","115","15","7.1","65","202,914"
2000,"The Princess Switch","2018","101","PG","6.1",NULL,"30,620"
2001,"My Big Fat Greek Wedding","2002","95","PG","6.6","62","142,524"
2002,"The Nutcracker","1993","92","U","5.8",NULL,"2,328"
2003,"The School for Good and Evil","2022","147","12","5.9","30","34,311"
2004,"Lincoln","2012","150","12A","7.3","87","269,563"
2005,"The Gangster, the Cop, the Devil","2019","109","15","6.9","65","20,833"
2006,"Akira","1988","124","12","8.0","67","200,243"
2007,"The Homesman","2014","122","15","6.6","68","34,995"
2008,"Inside Man","2006","129","15","7.6","76","391,531"
2009,"Maleficent","2014","97","PG","6.9","56","394,870"
2010,"Law Abiding Citizen","2009","109","18","7.4","34","313,600"
2011,"Paris, Texas","1984","145","15","8.1","81","115,043"
2012,"Despicable Me","2010","95","U","7.6","72","573,177"
2013,"Mallrats","1995","94","18","7.0","41","127,516"
2014,"Naked","1993","131","18","7.7","85","42,876"
2015,"Predators","2010","107","15","6.4","51","241,030"
2016,"Hellraiser","2022","121","18","5.9","55","47,027"
2017,"Watcher","2022","96","15","6.3","72","38,583"
2018,"Southpaw","2015","124","15","7.3","57","253,506"
2019,"Drive-Away Dolls","2024","84","15",NULL,NULL,"N/A"
2020,"Metropolis","1927","153","A","8.3","98","182,429"
2021,"Pet Sematary: Bloodlines","2023","87","15","4.6","31","8,967"
2022,"The English Patient","1996","162","15","7.4","87","197,699"
2023,"Demolition Man","1993","115","15","6.7","34","189,611"
2024,"Raya and the Last Dragon","2021","107","PG","7.3","74","166,730"
2025,"Palm Springs","2020","90","15","7.4","83","176,841"
2026,"Spy Game","2001","126","15","7.1","63","164,817"
2027,"Four Brothers","2005","109","15","6.8","49","154,553"
2028,"Kindergarten Cop","1990","111","15","6.2","61","159,418"
2029,"Dogma","1999","130","15","7.3","62","225,981"
2030,"The Hitman's Bodyguard","2017","118","15","6.9","47","243,256"
2031,"Midnight in Paris","2011","94","12A","7.6","81","444,121"
2032,"Boudica","2023","101","15","4.4",NULL,"1,535"
2033,"La Chimera","2023","130",NULL,"7.5","86","1,203"
2034,"Miranda's Victim","2023","127","15","6.5",NULL,"701"
2035,"All Ladies Do It","1992","93","18","5.2",NULL,"5,899"
2036,"Signs","2002","106","12A","6.8","59","380,679"
2037,"Under Siege 2: Dark Territory","1995","100","18","5.5","52","49,451"
2038,"Sky High","2005","100","PG","6.3","62","93,155"
2039,"Couples Retreat","2009","113","15","5.5","23","113,614"
2040,"Goldfinger","1964","110","PG","7.7","87","199,581"
2041,"Double Jeopardy","1999","105","15","6.5","40","93,670"
2042,"Taken 2","2012","92","15","6.2","45","318,765"
2043,"Not Tonight, Darling","1971","90","18","3.7",NULL,"197"
2044,"The Punisher","2004","124","18","6.4","33","168,548"
2045,"Funny Games","2007","111","18","6.5","44","102,357"
2046,"The Goddess","1958","104","A","6.6",NULL,"1,058"
2047,"Primer","2004","77","12A","6.7","68","112,523"
2048,"Changeland","2019","86","15","5.8","42","2,696"
2049,"Vice","2018","132","15","7.2","61","158,746"
2050,"Days of Heaven","1978","94","A","7.8","94","61,530"
2051,"The Last Airbender","2010","103","PG","4.0","20","169,881"
2052,"Boyhood","2014","165","15","7.9","100","364,269"
2053,"Jason Bourne","2016","123","12A","6.6","58","238,541"
2054,"Downton Abbey","2019","122","PG","7.4","64","61,605"
2055,"Luca","2021","95","U","7.4","71","185,155"
2056,"Eastern Promises","2007","100","18","7.6","83","256,628"
2057,"Sling Blade","1996","135","15","8.0","84","97,639"
2058,"The Foreigner","2017","113","15","7.0","55","121,425"
2059,"Serenity","2005","119","15","7.8","74","303,383"
2060,"Red Rocket","2021","130","18","7.1","76","30,211"
2061,"Roald Dahl's Matilda the Musical","2022","117","PG","7.0","72","26,835"
2062,"Gravity","2013","91","12A","7.7","96","852,911"
2063,"Exodus: Gods and Kings","2014","150","12A","6.0","52","175,763"
2064,"The Invisible Guest","2016","106","15","8.0",NULL,"188,668"
2065,"Fear and Loathing in Las Vegas","1998","118","18","7.5","41","297,507"
2066,"An American Werewolf in London","1981","97","X","7.5","55","117,915"
2067,"Radical","2023","125","PG-13","8.1","70","1,406"
2068,"Ted 2","2015","115","15","6.3","48","226,922"
2069,"Monster","2003","109","18","7.3","74","159,315"
2070,"50 First Dates","2004","99","12A","6.8","48","374,950"
2071,"Close","2022","104","12A","7.8","81","30,570"
2072,"Father Stu","2022","124","15","6.5","40","27,751"
2073,"Rambo: First Blood Part II","1985","96","15","6.5","47","179,566"
2074,"The Lost World: Jurassic Park","1997","129","PG","6.5","59","437,621"
2075,"Picture of Beauty","2017","70",NULL,"3.4",NULL,"1,627"
2076,"In the Heart of the Sea","2015","122","12A","6.9","47","146,613"
2077,"Insomnia","2002","118","15","7.2","78","313,187"
2078,"Alien Resurrection","1997","109","18","6.2","63","259,565"
2079,"Captain America: The Winter Soldier","2014","136","12A","7.8","70","886,067"
2080,"Party Monster","2003","98","18","6.2","36","16,998"
2081,"The Man from Earth","2007","87","PG","7.8",NULL,"196,738"
2082,"Black Mass","2015","123","15","6.9","68","189,922"
2083,"Ronin","1998","122","15","7.2","67","192,160"
2084,"Big Hero 6","2014","102","PG","7.8","74","491,057"
2085,"The Thundermans Return","2024","N/A",NULL,NULL,NULL,"N/A"
2086,"War Dogs","2016","114","15","7.1","57","244,807"
2087,"The Poughkeepsie Tapes","2007","81","Not Rated","6.0",NULL,"23,686"
2088,"Jujutsu Kaisen 0: The Movie","2021","105","15","7.8","71","31,946"
2089,"The Wailing","2016","156","15","7.4","81","78,474"
2090,"Skinamarink","2022","100","15","4.8","66","13,941"
2091,"Ocean's Thirteen","2007","122","PG","6.9","62","362,507"
2092,"West Side Story","1961","153","A","7.6","86","119,360"
2093,"She's Out of My League","2010","104","15","6.4","46","142,505"
2094,"Kick-Ass 2","2013","103","15","6.5","41","284,860"
2095,"Ri¢hie Ri¢h","1994","95","PG","5.4","49","72,465"
2096,"Don Jon","2013","90","18","6.5","66","245,393"
2097,"A Bug's Life","1998","95","U","7.2","77","309,273"
2098,"The Cell","2000","107","18","6.4","40","107,637"
2099,"Logan Lucky","2017","118","12A","7.0","78","159,619"
2100,"Good Luck to You, Leo Grande","2022","97","15","7.2","78","34,842"
2101,"Nomadland","2020","107","12A","7.3","89","177,178"
2102,"Fatal Attraction","1987","119","18","6.9","67","94,892"
2103,"Terrifier 3","2024","N/A",NULL,NULL,NULL,"N/A"
2104,"The Lost Daughter","2021","121","15","6.7","86","72,757"
2105,"The Girl Next Door","2007","91","18","6.5","29","28,816"
2106,"The Teachers' Lounge","2023","98","PG-13","7.6","83","2,246"
2107,"Coherence","2013","89","15","7.2","65","142,190"
2108,"The Hurt Locker","2008","131","15","7.5","95","468,298"
2109,"Dick Tracy","1990","105","PG","6.2","68","64,891"
2110,"The Lodge","2019","108","15","6.0","64","54,661"
2111,"The Outfit","2022","105","15","7.2","69","59,835"
2112,"Tarzan","1999","88","U","7.3","79","242,284"
2113,"Road Trip","2000","93","15","6.5","55","175,878"
2114,"Through My Window","2022","116","15","5.5",NULL,"16,070"
2115,"The Name of the Rose","1986","130","18","7.7","54","114,912"
2116,"Thunderball","1965","130","PG","6.9","64","125,198"
2117,"Sex Tape","2014","94","15","5.1","36","116,741"
2118,"Flash Gordon","1980","111","A","6.5","58","60,333"
2119,"Scream 4","2011","111","15","6.2","52","168,270"
2120,"Moonfall","2022","130","12A","5.1","41","95,346"
2121,"Dallas Buyers Club","2013","117","15","7.9","77","511,347"
2122,"Blow","2001","124","18","7.5","52","271,718"
2123,"Maybe I Do","2023","95","12","4.9","42","7,446"
2124,"Back to the Future Part II","1989","108","PG","7.8","57","562,504"
2125,"The Tragedy of Macbeth","2021","105","15","7.1","87","38,433"
2126,"Contagion","2011","106","12A","6.8","70","312,599"
2127,"The Golden Compass","2007","113","PG","6.1","51","195,092"
2128,"Brazil","1985","132","15","7.9","84","208,681"
2129,"Pineapple Express","2008","111","15","6.9","64","353,335"
2130,"La haine","1995","98","15","8.1",NULL,"190,493"
2131,"No Strings Attached","2011","108","15","6.2","50","241,132"
2132,"The Warriors","1979","93","X","7.5","65","108,589"
2133,"The Guilty","2021","90","15","6.3","63","143,180"
2134,"Death Becomes Her","1992","104","PG","6.6","56","128,468"
2135,"Influencer","2022","92",NULL,"6.1","66","10,690"
2136,"Walk the Line","2005","136","12A","7.8","72","262,245"
2137,"Tremors","1990","96","15","7.1","65","146,922"
2138,"Big Daddy","1999","93","12","6.4","41","230,180"
2139,"The Texas Chain Saw Massacre","1974","83","18","7.4","89","179,687"
2140,"This Is Where I Leave You","2014","103","15","6.6","44","87,505"
2141,"Battleship","2012","131","12A","5.8","41","255,191"
2142,"Warhorse One","2023","126","R","5.2",NULL,"1,396"
2143,"The Boy Next Door","2015","91","18","4.7","30","44,714"
2144,"Finch","2021","115","12","6.9","57","93,505"
2145,"1984","1984","113","15","7.1","67","77,449"
2146,"Cinema Paradiso","1988","155","PG","8.5","80","276,935"
2147,"Barbershop","2002","102","12A","6.3","66","33,114"
2148,"Resident Evil: Welcome to Raccoon City","2021","107","15","5.2","44","61,896"
2149,"The Jungle Book","2016","106","PG","7.4","77","288,433"
2150,"Glass","2019","129","15","6.6","43","261,596"
2151,"Moon","2009","97","15","7.8","67","372,272"
2152,"Cars 2","2011","106","U","6.2","57","210,725"
2153,"Juror #2",NULL,"N/A",NULL,NULL,NULL,"N/A"
2154,"Anaconda","1997","89","15","4.9","37","110,195"
2155,"Terminator Salvation","2009","115","12A","6.5","49","373,838"
2156,"Curtains","1983","89","18","5.6",NULL,"5,549"
2157,"Jurassic World: Fallen Kingdom","2018","128","12","6.1","51","337,096"
2158,"The Bachelor Party","1957","92","X","6.7",NULL,"822"
2159,"Nuovo Olimpo","2023","113","15","7.2",NULL,"3,509"
2160,"I Know What You Did Last Summer","1997","101","18","5.8","52","156,011"
2161,"Mickey 17","2024","N/A",NULL,NULL,NULL,"N/A"
2162,"Doc Hollywood","1991","104","PG-13","6.3","56","39,802"
2163,"Dogville","2003","178","15","8.0","61","156,328"
2164,"The Faculty","1998","104","15","6.6","61","132,917"
2165,"The American Society of Magical Negroes","2024","104",NULL,NULL,NULL,"N/A"
2166,"The Secret in Their Eyes","2009","129","18","8.2","80","219,075"
2167,"Adventures in Babysitting","1987","102","15","6.9","45","48,076"
2168,"Now You See Me 2","2016","129","12A","6.4","46","313,757"
2169,"Somebody I Used to Know","2023","106","15","5.7","57","7,672"
2170,"Bird Box","2018","124","15","6.6","51","376,440"
2171,"My Best Friend's Wedding","1997","105","12","6.3","50","151,811"
2172,"The Holy Mountain","1973","114","16+","7.8","76","46,928"
2173,"Cheeky","2000","91","18","5.4",NULL,"6,299"
2174,"The Interview","2014","112","15","6.5","52","348,339"
2175,"The Edge of Seventeen","2016","104","15","7.3","77","137,653"
2176,"Snow White and the Huntsman","2012","127","12A","6.1","57","299,370"
2177,"Desperado","1995","104","18","7.1","55","194,799"
2178,"The Strangers","2008","86","15","6.1","47","140,790"
2179,"Imaginary","2024","N/A",NULL,NULL,NULL,"N/A"
2180,"The Chronicles of Narnia: The Voyage of the Dawn Treader","2010","113","PG","6.3","53","163,464"
2181,"The Naked Gun: From the Files of Police Squad!","1988","85","15","7.6","76","180,708"
2182,"Elektra","2005","97","12A","4.7","34","96,672"
2183,"Mortal World","2018","107",NULL,"7.6",NULL,"29,825"
2184,"Hocus Pocus","1993","96","PG","6.9","43","154,327"
2185,"I See You","2019","98","15","6.8","65","63,702"
2186,"The Counsellor","2013","117","18","5.4","48","104,929"
2187,"Chef","2014","114","15","7.3","68","227,277"
2188,"Palmer","2021","110","15","7.3","53","41,875"
2189,"Bedazzled","2000","93","12","6.1","49","110,756"
2190,"Hostile Hostages","1994","97","15","6.9","59","26,053"
2191,"Shallow Hal","2001","114","12","6.0","48","142,023"
2192,"The Girl Who Escaped: The Kara Robinson Story","2023","88","TV-14","6.2",NULL,"3,201"
2193,"Atlantis: The Lost Empire","2001","95","U","6.9","52","130,888"
2194,"The Karate Kid","2010","140","PG","6.2","61","200,833"
2195,"Life of Pi","2012","127","PG","7.9","79","657,325"
2196,"Army of Thieves","2021","127","15","6.4","49","85,964"
2197,"Avengers: Secret Wars","2027","N/A",NULL,NULL,NULL,"N/A"
2198,"St. Elmo's Fire","1985","110","15","6.4","35","45,429"
2199,"Dr. No","1962","110","PG","7.2","78","176,773"
2200,"The Wind Rises","2013","126","PG","7.7","83","94,698"
2201,"Invasion of the Body Snatchers","1978","115","X","7.4","75","67,809"
2202,"Afire","2023","102","12A","7.3","82","4,393"
2203,"Happy Feet","2006","108","U","6.4","77","196,962"
2204,"Mona Lisa Smile","2003","117","12A","6.5","45","88,657"
2205,"The Wedding Singer","1998","97","12","6.9","59","159,697"
2206,"Ticket to Paradise","2022","104","12A","6.1","50","60,479"
2207,"Robin Hood: Men in Tights","1993","104","PG","6.7","44","134,150"
2208,"The Birdcage","1996","117","15","7.2","72","97,918"
2209,"Mamma Mia: Here We Go Again!","2018","114","PG","6.6","60","105,360"
2210,"After Hours","1985","97","15","7.6","90","78,231"
2211,"The Great Escape","1963","172","PG","8.2","86","255,138"
2212,"Ant-Man","2015","117","12A","7.3","64","709,920"
2213,"RoboCop 2","1990","117","18","5.8","42","91,419"
2214,"The Princess and the Frog","2009","97","U","7.1","73","162,195"
2215,"Return to Oz","1985","113","U","6.7","42","29,779"
2216,"A Merry Christmas Miracle","2014","88","15","5.1","28","7,900"
2217,"The Blair Witch Project","1999","81","15","6.5","81","280,051"
2218,"A Little Princess","1995","97","U","7.6","83","36,200"
2219,"Lamborghini","2022","97","12","5.4",NULL,"10,301"
2220,"Dark City","1998","100","15","7.6","66","209,543"
2221,"X-Men: Dark Phoenix","2019","113","12A","5.7","43","200,478"
2222,"The Skin I Live In","2011","120","15","7.6","70","162,881"
2223,"The Purge","2013","85","15","5.7","41","236,467"
2224,"About a Boy","2002","101","12","7.1","75","189,916"
2225,"Das Boot","1981","149","AA","8.4","85","260,826"
2226,"The Ritual","2017","94","15","6.3","57","115,191"
2227,"Silverado","1985","133","PG","7.2","64","48,032"
2228,"Mufasa: The Lion King","2024","N/A",NULL,NULL,NULL,"N/A"
2229,"Girls to Buy","2021","146","18","5.3",NULL,"2,732"
2230,"Hellboy","2019","120","15","5.2","31","96,349"
2231,"Singin' in the Rain","1952","103","U","8.3","99","255,722"
2232,"Hollow Man","2000","112","18","5.8","24","136,727"
2233,"Triple 9","2016","115","15","6.3","52","75,889"
2234,"17 Again","2009","102","12A","6.4","48","213,148"
2235,"Bad Moms","2016","100","15","6.2","60","132,808"
2236,"Peppermint","2018","101","15","6.5","29","69,510"
2237,"Hell House LLC","2015","93","Not Rated","6.4",NULL,"22,740"
2238,"Bill & Ted's Excellent Adventure","1989","90","PG","6.9","50","139,611"
2239,"Project X","2012","88","18","6.7","46","227,786"
2240,"Christmas with You","2022","89","U","5.6","39","7,281"
2241,"Super 8","2011","112","12A","7.0","72","364,577"
2242,"Mortal Engines","2018","128","12A","6.1","44","136,279"
2243,"Mr. Nobody","2009","141","15","7.7","63","243,206"
2244,"WarGames","1983","114","PG","7.1","77","108,486"
2245,"The Wonder","2022","108","15","6.6","71","42,076"
2246,"The Hot Chick","2002","104","12A","5.6","29","101,061"
2247,"Stepmom","1998","125","12","6.8","58","73,416"
2248,"Sukhee","2023","139","12A","6.8",NULL,"7,548"
2249,"Spencer","2021","117","12A","6.6","76","74,951"
2250,"Into the Woods","2014","125","PG","5.9","69","146,553"
2251,"Moonrise Kingdom","2012","94","12A","7.8","84","363,511"
2252,"Body Heat","1981","113","X","7.4","77","39,416"
2253,"Cold Mountain","2003","154","15","7.2","73","154,315"
2254,"O Brother, Where Art Thou?","2000","107","12","7.7","69","325,845"
2255,"The Glass Bottom Boat","1966","110","U","6.4",NULL,"5,117"
2256,"Last Sentinel","2023","117","15","5.0",NULL,"4,971"
2257,"V for Vengeance","2022","86","15","4.1",NULL,"941"
2258,"Unbroken","2014","137","15","7.2","59","179,477"
2259,"From Russia with Love","1963","115","PG","7.3","83","142,976"
2260,"Last Summer","2023","104",NULL,"6.7","63","532"
2261,"Bridge of Spies","2015","142","12A","7.6","81","324,017"
2262,"The Nutcracker: The Untold Story","2010","110","PG","4.1","18","4,090"
2263,"Ballerina","2023","92","15","6.2",NULL,"9,208"
2264,"Teenage Mutant Hero Turtles","1990","93","PG","6.8","51","103,068"
2265,"Jerry & Marge Go Large","2022","96","12","6.9","52","21,238"
2266,"The Terminal","2004","128","12A","7.4","55","486,180"
2267,"The Bodyguard","1992","129","15","6.3","39","144,911"
2268,"Heathers","1988","103","18","7.2","72","113,284"
2269,"Enter the Void","2009","142","18","7.2","69","86,449"
2270,"Shiva Baby","2020","77","15","7.1","79","30,534"
2271,"Terrified","2017","87","15","6.5",NULL,"20,551"
2272,"Homefront","2013","100","15","6.5","40","127,736"
2273,"Coyote Ugly","2000","100","12","5.7","27","119,667"
2274,"Shrapnel","2023","89","15","4.9",NULL,"754"
2275,"Get Smart","2008","110","12A","6.5","54","226,213"
2276,"Sly","2023","95","15","7.0","62","8,656"
2277,"Gone Baby Gone","2007","114","15","7.6","72","284,892"
2278,"Maleficent: Mistress of Evil","2019","119","PG","6.6","43","115,945"
2279,"Dennis the Menace","1993","94","PG","5.6","49","63,972"
2280,"The World Is Not Enough","1999","128","12","6.4","57","207,887"
2281,"Murder Mystery 2","2023","90","12","5.7","44","64,005"
