"id","title","genre","years","duration","rating","people_rating","critic_rating","votes"
657,"Super Pets","Animation","2022","105","PG","7.1","56","73,057"
658,"Blue Is the Warmest Colour","Drama","2013","180","18","7.7","90","160,598"
659,"The Handmaiden","Drama","2016","145","18","8.1","85","166,240"
660,"The Martian","Adventure","2015","144","12A","8.0","80","903,822"
661,"Donnie Darko","Drama","2001","113","15","8.0","88","836,864"
662,"Ratatouille","Animation","2007","111","U","8.1","96","800,258"
663,"Zack Snyder's Justice League","Action","2021","242","15","7.9","54","428,458"
664,"Three Billboards Outside Ebbing, Missouri","Comedy","2017","115","15","8.1","88","542,383"
665,"Diary of a Wimpy Kid Christmas: Cabin Fever","Animation","2023","62","PG","5.8",NULL,"420"
666,"The Day After Tomorrow","Action","2004","124","12A","6.5","47","469,232"
667,"Christmas with the Campbells","Comedy","2022","88",NULL,"5.4","56","1,554"
668,"The Nice Guys","Action","2016","116","15","7.4","70","360,780"
669,"Full Metal Jacket","Drama","1987","116","18","8.3","78","777,070"
670,"Life of the Party","Comedy","2018","105","12A","5.6","46","38,965"
671,"Terrifier 2","Horror","2022","138","18","6.1","59","43,854"
672,"Hardcore Never Dies","Crime","2023","115",NULL,"7.1",NULL,"1,177"
673,"Mission: Impossible","Action","1996","110","PG","7.2","59","462,131"
674,"Air","Drama","2023","111","15","7.4","73","152,464"
675,"Hot Fuzz","Action","2007","121","15","7.8","81","527,826"
676,"Almost Famous","Adventure","2000","122","15","7.9","90","289,298"
677,"Origin","Drama","2023","135","PG-13","6.4","76","459"
678,"Deadpool 2","Action","2018","119","15","7.6","66","626,613"
679,"Reservoir Dogs","Crime","1992","99","18","8.3","81","1,069,103"
680,"Home Sweet Home Alone","Comedy","2021","93","9+","3.6","35","19,443"
681,"The Book of Clarence","Adventure","2023","136","PG-13",NULL,"62","N/A"
682,"Sleeping Beauty","Drama","2011","101","18","5.3","61","34,278"
683,"Amsterdam","Comedy","2022","134","15","6.1","48","87,053"
684,"Scream","Horror","2022","114","18","6.3","60","152,885"
685,"In Time","Action","2011","109","12A","6.7","53","437,868"
686,"The Many Saints of Newark","Crime","2021","120","15","6.3","60","61,237"
687,"Deep Water","Drama","2022","115","15","5.5","53","54,581"
688,"Trolls World Tour","Animation","2020","91","U","6.1","51","27,244"
689,"The Incredibles","Animation","2004","115","U","8.0","90","788,749"
690,"Dawn of the Planet of the Apes","Action","2014","130","12A","7.6","79","461,190"
691,"Saturday Night Fever","Drama","1977","118","18","6.8","77","85,644"
692,"Insidious: The Red Door","Horror","2023","107","15","5.5","45","43,823"
693,"Edward Scissorhands","Drama","1990","105","PG-13","7.9","74","515,397"
694,"Fantastic Beasts: The Secrets of Dumbledore","Adventure","2022","142","12A","6.2","47","162,680"
695,"Airheads","Comedy","1994","92","15","6.2","46","55,178"
696,"The Breakfast Club","Comedy","1985","97","15","7.8","66","427,968"
697,"Ballerina","Action","2024","N/A",NULL,NULL,NULL,"N/A"
698,"Champions","Comedy","2023","124","12A","6.8","50","22,453"
699,"Tár","Drama","2022","158","15","7.4","92","86,680"
700,"A Christmas Carol","Drama","1938","69","U","7.5","72","8,366"
701,"Where Eagles Dare","Action","1968","158","PG","7.6","63","61,835"
702,"The Firm","Drama","1993","154","15","6.9","58","144,873"
703,"Casino","Crime","1995","178","18","8.2","73","552,056"
704,"E.T. the Extra-Terrestrial","Adventure","1982","115","U","7.9","92","430,430"
705,"Jaws","Adventure","1975","124","A","8.1","87","647,148"
706,"Mad Max Beyond Thunderdome","Action","1985","107","15","6.2","71","145,063"
707,"The Sixth Sense","Drama","1999","107","15","8.2","64","1,033,643"
708,"Passages","Drama","2023","91","18","6.8","79","7,260"
709,"Ambulance","Action","2022","136","15","6.1","55","90,138"
710,"Ex Machina","Drama","2014","108","15","7.7","78","574,759"
711,"Batman v Superman: Dawn of Justice","Action","2016","151","12A","6.5","44","743,934"
712,"Sin City","Crime","2005","124","18","8.0","74","787,768"
713,"A Star Is Born","Drama","2018","136","15","7.6","88","409,521"
714,"Terrifier","Horror","2016","85","18","5.6",NULL,"49,493"
715,"The Man Who Invented Christmas","Biography","2017","104","PG","7.0","60","18,078"
716,"Cruella","Adventure","2021","134","12A","7.3","59","257,301"
717,"After","Drama","2019","105","12","5.3","30","63,270"
718,"Rise of the Planet of the Apes","Action","2011","105","12A","7.6","68","550,371"
719,"Snow White","Adventure","2025","N/A",NULL,NULL,NULL,"N/A"
720,"The Fast and the Furious: Tokyo Drift","Action","2006","104","12A","6.0","45","292,991"
721,"Trainspotting","Drama","1996","93","18","8.1","83","715,013"
722,"Secretary","Comedy","2002","107","18","6.9","63","96,641"
723,"Kids","Drama","1995","91","18","7.0","63","83,334"
724,"The Fall Guy","Action","2024","114","PG-13",NULL,NULL,"N/A"
725,"Wonder Woman","Action","2017","141","12A","7.4","76","689,432"
726,"Kingsman: The Secret Service","Action","2014","129","15","7.7","60","703,140"
727,"Jumanji","Adventure","1995","104","PG","7.1","39","368,583"
728,"The Blue Lagoon","Adventure","1980","104","AA","5.8","31","75,181"
729,"Into the Wild","Adventure","2007","148","15","8.1","73","648,252"
730,"Queen of Hearts","Drama","2019","127","18","7.1","67","13,667"
731,"The Lord of the Rings: The War of the Rohirrim","Animation","2024","130",NULL,NULL,NULL,"N/A"
732,"The Star","Animation","2017","86","U","6.3","42","8,991"
733,"Room","Drama","2015","118","15","8.1","86","442,689"
734,"Good Burger","Comedy","1997","95","PG","5.8","41","32,366"
735,"We're the Millers","Comedy","2013","110","15","7.0","44","478,038"
736,"Groundhog Day","Comedy","1993","101","PG","8.0","72","669,671"
737,"The Old Oak","Drama","2023","113","15","7.1","62","3,088"
738,"Borderlands","Action","2024","N/A",NULL,NULL,NULL,"N/A"
739,"Lady Bird","Comedy","2017","94","15","7.4","93","317,993"
740,"Captain Marvel","Action","2019","123","12A","6.8","64","599,177"
741,"Burning Betrayal","Drama","2023","98","18","4.1",NULL,"2,271"
742,"Rocky","Drama","1976","120","12","8.1","70","616,426"
743,"Father Christmas Is Back","Comedy","2021","105","12","4.5",NULL,"7,096"
744,"Paper Moon","Comedy","1973","102","A","8.1","77","51,336"
745,"The Fugitive","Action","1993","130","12","7.8","87","312,402"
746,"American Symphony","Documentary","2023","104","12A","7.3","76","689"
747,"This Is Christmas","Comedy","2022","111","12A","6.9",NULL,"2,204"
748,"Ghostbusters: Frozen Empire","Adventure","2024","N/A",NULL,NULL,NULL,"N/A"
749,"Les Misérables","Drama","2012","158","12A","7.5","63","341,989"
750,"The Thin Red Line","Drama","1998","170","15","7.6","78","196,882"
751,"Superman: Legacy","Action","2025","N/A",NULL,NULL,NULL,"N/A"
752,"Zootropolis","Animation","2016","108","PG","8.0","78","533,270"
753,"The Imitation Game","Biography","2014","114","12A","8.0","71","810,506"
754,"Lost in Translation","Comedy","2003","102","15","7.7","91","479,396"
755,"Rustin","Biography","2023","106","15","6.5","68","2,888"
756,"Kabir Singh","Action","2019","173","15","7.0",NULL,"38,561"
757,"Fukrey 3","Comedy","2023","147","12A","6.6",NULL,"22,940"
758,"Room in Rome","Drama","2010","107","18","6.1",NULL,"25,826"
759,"Red Sparrow","Action","2018","140","15","6.6","53","198,145"
760,"Fighter","Action","2024","N/A",NULL,NULL,NULL,"N/A"
761,"My Fault","Drama","2023","117","15","6.2",NULL,"20,001"
762,"Scream","Horror","1996","111","18","7.4","65","381,313"
763,"CODA","Comedy","2021","111","12A","8.0","72","156,844"
764,"Martyrs","Horror","2008","99","18","7.0",NULL,"103,827"
765,"Surviving Christmas","Comedy","2004","91","12A","5.4","19","26,768"
766,"I Can Only Imagine","Biography","2018","110","PG","7.3","30","17,640"
767,"X-Men","Action","2000","104","12A","7.3","64","637,611"
768,"Apocalypto","Action","2006","139","18","7.8","68","326,285"
769,"Baby Driver","Action","2017","113","15","7.6","86","590,592"
770,"School of Rock","Comedy","2003","109","PG","7.2","82","323,656"
771,"Snow Day","Adventure","2000","89","PG","5.1","34","13,458"
772,"Jackie Brown","Crime","1997","154","15","7.5","64","366,848"
773,"Unforgiven","Drama","1992","130","15","8.2","85","429,765"
774,"Fury","Action","2014","134","15","7.6","64","531,467"
775,"Saw","Horror","2004","103","18","7.6","46","458,583"
776,"The Three Musketeers: Milady","Action","2023","115","12A","7.5",NULL,"83"
777,"Bones and All","Drama","2022","131","18","6.8","74","52,939"
778,"The Conjuring","Horror","2013","112","15","7.5","68","544,458"
779,"Silver Linings Playbook","Comedy","2012","122","15","7.7","81","733,546"
780,"Silent Hill","Horror","2006","125","15","6.5","31","240,762"
781,"Matilda","Comedy","1996","98","PG","7.0","72","170,223"
782,"Your Name.","Animation","2016","106","12A","8.4","81","305,857"
783,"The Other Zoey","Comedy","2023","91","12","5.8",NULL,"5,420"
784,"Mission: Impossible - Fallout","Action","2018","147","12A","7.7","86","369,623"
785,"The Peasants","Animation","2023","114","15","8.2","66","2,383"
786,"Malignant","Crime","2021","111","18","6.2","51","105,092"
787,"Idiocracy","Adventure","2006","84","15","6.5","66","177,690"
788,"Excalibur","Adventure","1981","140","15","7.3","56","65,903"
789,"Man on Fire","Action","2004","146","18","7.7","47","382,791"
790,"Hamilton","Biography","2020","160","12","8.3","88","108,692"
791,"The Curious Case of Benjamin Button","Drama","2008","166","12A","7.8","70","684,053"
792,"Daddy's Home 2","Comedy","2017","100","12A","6.0","30","80,394"
793,"Knights of the Zodiac","Action","2023","112","12","4.4","35","10,354"
794,"True Romance","Crime","1993","119","18","7.9","59","238,586"
795,"Baywatch","Action","2017","116","15","5.5","37","198,492"
796,"Romeo + Juliet","Drama","1996","120","12","6.7","60","240,855"
797,"Lady Chatterley's Lover","Drama","2022","126","15","6.6","67","21,594"
798,"Split","Horror","2016","117","15","7.3","63","536,455"
799,"Serendipity","Comedy","2001","90","PG","6.8","52","119,287"
800,"Grease","Comedy","1978","110","PG","7.2","70","294,695"
801,"Airplane!","Comedy","1980","88","A","7.7","78","255,299"
802,"Dirty Dancing","Drama","1987","100","15","7.0","65","250,088"
803,"Twisters","Action","2024","N/A",NULL,NULL,NULL,"N/A"
804,"The Lost Boys","Comedy","1987","97","15","7.2","63","157,846"
805,"Doctor Sleep","Drama","2019","152","15","7.3","59","213,403"
806,"1408","Fantasy","2007","104","15","6.8","64","289,360"
807,"Atonement","Drama","2007","123","15","7.8","85","294,537"
808,"The Virgin Suicides","Drama","1999","97","15","7.2","77","165,474"
809,"The End We Start From","Drama","2023","102","R","6.7","66","277"
810,"Margaux","Horror","2022","104","15","4.5",NULL,"3,079"
811,"King Kong","Action","2005","187","12A","7.2","81","440,798"
812,"Single All the Way","Comedy","2021","99","PG","6.2","49","18,797"
813,"Life Is Beautiful","Comedy","1997","116","PG","8.6","59","729,723"
814,"Mother!","Drama","2017","121","18","6.6","76","244,380"
815,"John Wick: Chapter 2","Action","2017","122","18","7.4","75","498,021"
816,"Retribution","Action","2023","91","12A","5.3","43","14,275"
817,"Predator","Action","1987","107","18","7.8","47","445,505"
818,"Training Day","Crime","2001","122","18","7.7","71","463,154"
819,"Triple Frontier","Action","2019","125","15","6.5","61","141,972"
820,"Let It Snow","Comedy","2019","92","12","5.8","51","24,321"
821,"Rogue One","Action","2016","133","12A","7.8","65","674,323"
822,"Untouchable","Biography","2011","112","15","8.5","57","908,986"
823,"Creed III","Drama","2023","116","12A","6.7","73","87,201"
824,"Black Panther","Action","2018","134","12A","7.3","88","822,769"
825,"Batman Returns","Action","1992","126","12","7.1","68","322,305"
826,"A Bronx Tale","Crime","1993","121","18","7.8","80","156,093"
827,"Smokin' Aces","Action","2006","109","18","6.6","45","150,754"
828,"RRR","Action","2022","187","15","7.8","83","160,100"
829,"Fool's Paradise","Comedy","2023","98","15","4.7","27","4,828"
830,"Ready Player One","Action","2018","140","12A","7.4","64","470,418"
831,"Moana","Animation","2016","107","PG","7.6","81","366,396"
832,"Platoon","Drama","1986","120","15","8.1","92","431,890"
833,"Men in Black","Action","1997","98","12","7.3","71","600,547"
834,"Rumble Through the Dark","Action","2023","116","15","5.7",NULL,"2,719"
835,"Clueless","Comedy","1995","97","12","6.9","71","238,757"
836,"Varsity Blues","Comedy","1999","106","15","6.5","50","48,320"
837,"The Voyeurs","Drama","2021","116","18","6.1","54","27,888"
838,"John Wick: Chapter 3 - Parabellum","Action","2019","130","15","7.4","73","412,742"
839,"Men","Drama","2022","100","15","6.1","65","57,364"
840,"The Last of the Mohicans","Action","1992","112","15","7.7","76","183,369"
841,"Star Wars: Episode VII - The Force Awakens","Action","2015","138","12A","7.8","80","962,341"
842,"Alexander","Action","2004","175","15","5.6","40","174,891"
843,"Coco","Animation","2017","105","PG","8.4","81","567,849"
844,"Batman","Action","1989","126","12","7.5","69","398,301"
845,"Now You See Me","Crime","2013","115","12A","7.2","50","694,951"
846,"Gerald's Game","Drama","2017","103","18","6.5","77","123,736"
847,"Closer","Drama","2004","104","15","7.2","65","232,560"
848,"Blonde","Drama","2022","167","18","5.5","50","69,771"
849,"Boyz n the Hood","Crime","1991","112","15","7.8","76","150,893"
850,"Nimona","Animation","2023","101","PG","7.6","75","35,097"
851,"Lone Survivor","Action","2013","121","15","7.5","60","302,463"
852,"Notting Hill","Comedy","1999","124","15","7.2","68","333,561"
853,"Flight","Drama","2012","138","15","7.3","76","371,165"
854,"Grown Ups","Comedy","2010","102","12A","6.0","30","268,951"
855,"Annihilation","Adventure","2018","115","15","6.8","79","352,743"
856,"Mortal Kombat","Action","2021","110","15","6.0","44","186,753"
857,"The Equalizer 2","Action","2018","121","18","6.7","50","187,392"
858,"Christmas with the Coopers","Comedy","2015","107","12A","5.8","31","25,989"
859,"The Pale Blue Eye","Crime","2022","128","15","6.6","56","118,265"
860,"57 Seconds","Sci-Fi","2023","99","R","5.3",NULL,"4,533"
861,"Kadak Singh","Thriller","2023","128",NULL,"7.9",NULL,"3,585"
862,"Tomorrowland: A World Beyond","Action","2015","130","12A","6.4","60","189,120"
863,"BlacKkKlansman","Biography","2018","135","15","7.5","83","284,570"
864,"Ted","Comedy","2012","106","15","6.9","62","643,706"
865,"The Talented Mr. Ripley","Crime","1999","139","15","7.4","76","227,987"
866,"The Matrix Resurrections","Action","2021","148","15","5.7","63","272,441"
867,"Under the Skin","Drama","2013","108","15","6.3","80","153,807"
868,"She Came to Me","Comedy","2023","102","R","6.0","53","2,459"
869,"Black Panther: Wakanda Forever","Action","2022","161","12A","6.7","67","292,165"
870,"Shrek","Animation","2001","90","U","7.9","84","718,159"
871,"M3gan","Horror","2022","102","15","6.4","72","133,358"
872,"Armageddon","Action","1998","151","12","6.7","42","444,496"
873,"The King's Man","Action","2021","131","15","6.3","44","167,118"
874,"Fatman","Action","2020","100","15","5.9","40","28,903"
875,"Finding Nemo","Animation","2003","100","U","8.2","90","1,093,286"
876,"A Knight's Tale","Action","2001","132","PG","7.0","56","198,104"
877,"The Garfield Movie","Animation","2024","N/A",NULL,NULL,NULL,"N/A"
878,"National Lampoon's Animal House","Comedy","1978","109","AA","7.4","79","127,602"
879,"Percy Jackson & the Lightning Thief","Adventure","2010","118","PG","5.9","47","197,687"
880,"500 Days of Summer","Comedy","2009","95","12A","7.7","76","545,765"
881,"Mrs. Doubtfire","Comedy","1993","125","12","7.1","54","285,090"
882,"The Other Guys","Action","2010","107","12A","6.6","64","283,428"
883,"American Gangster","Biography","2007","157","18","7.8","76","445,916"
884,"Dark Waters","Biography","2019","126","12A","7.6","73","97,509"
885,"Spider-Man: Beyond the Spider-Verse","Animation",NULL,"N/A",NULL,NULL,NULL,"N/A"
886,"All the Old Knives","Mystery","2022","101","15","6.1","62","27,400"
887,"Scooby-Doo","Adventure","2002","89","PG","5.3","35","123,126"
888,"Shame","Drama","2011","101","18","7.2","72","203,778"
889,"Focus","Comedy","2015","105","15","6.6","56","269,411"
890,"The Secret Life of Walter Mitty","Adventure","2013","114","PG","7.3","54","333,664"
891,"Nightcrawler","Crime","2014","117","15","7.8","76","590,142"
892,"Showgirls","Drama","1995","128","18","5.0","20","72,952"
893,"Office Space","Comedy","1999","89","15","7.6","68","282,585"
894,"Soul","Animation","2020","100","PG","8.0","83","364,391"
895,"Y tu mamá también","Drama","2001","106","18","7.7","89","127,714"
896,"Amadeus","Biography","1984","160","PG","8.4","87","420,804"
897,"Chicken Run","Animation","2000","84","U","7.1","88","205,129"
898,"Girl, Interrupted","Biography","1999","127","15","7.3","51","205,800"
899,"Army of the Dead","Action","2021","148","18","5.8","57","183,082"
900,"Bridget Jones's Diary","Comedy","2001","97","15","6.8","66","258,041"
901,"Transformers","Action","2007","144","12A","7.0","61","666,734"
902,"The Out-Laws","Action","2023","95","15","5.4","36","32,692"
903,"Booksmart","Comedy","2019","102","15","7.1","84","128,375"
904,"Kung Fu Panda 4","Animation","2024","N/A",NULL,NULL,NULL,"N/A"
905,"Hook","Adventure","1991","142","U","6.8","52","268,887"
906,"Die Hard: With a Vengeance","Action","1995","128","15","7.6","58","402,193"
907,"The Passion of the Christ","Drama","2004","127","18","7.2","47","245,969"
908,"Mask","Biography","1985","120","15","7.2","73","31,817"
909,"Princess Mononoke","Animation","1997","134","PG","8.3","76","421,433"
910,"What's Eating Gilbert Grape","Drama","1993","118","12","7.7","73","250,115"
911,"Ferris Bueller's Day Off","Comedy","1986","103","15","7.8","61","380,026"
912,"The Pope's Exorcist","Horror","2023","103","15","6.1","45","75,826"
913,"Odd Thomas","Comedy","2013","100","15","6.8","45","56,623"
914,"Point Break","Action","1991","122","15","7.3","59","197,066"
915,"Atharva","Crime","2023","116",NULL,"8.4",NULL,"6,575"
916,"Bhagavanth Kesari","Action","2023","164","15","6.4",NULL,"3,951"
917,"Gangs of New York","Crime","2002","167","18","7.5","72","465,638"
918,"Casablanca","Drama","1942","102","U","8.5","100","596,635"
919,"28 Days Later","Drama","2002","113","18","7.5","73","435,636"
920,"Old","Drama","2021","108","15","5.8","55","153,729"
921,"The Mask","Action","1994","101","PG","6.9","59","410,944"
922,"The Tomorrow War","Action","2021","138","12","6.6","45","222,321"
923,"Fantastic Four","Action","2025","N/A",NULL,NULL,NULL,"N/A"
924,"Transformers: The Last Knight","Action","2017","154","12A","5.2","27","165,578"
925,"The Rock","Action","1996","136","15","7.4","58","353,360"
926,"A Disturbance in the Force","Documentary","2023","85",NULL,"6.9","68","228"
927,"Wrong Turn","Horror","2021","109","18","5.5","46","35,294"
928,"Star Wars: Episode V - The Empire Strikes Back","Action","1980","124","U","8.7","82","1,354,740"
929,"I Am Legend","Action","2007","101","15","7.2","65","798,988"
930,"Black Widow","Action","2021","134","12A","6.7","68","414,479"
931,"Liar Liar","Comedy","1997","86","12","6.9","70","327,660"
932,"Stardust","Adventure","2007","127","PG","7.6","66","281,453"
933,"Not Another Teen Movie","Comedy","2001","89","15","5.8","32","113,434"
934,"Minority Report","Action","2002","145","12","7.6","80","575,935"
935,"The Lion King","Animation","2019","118","PG","6.8","55","261,941"
936,"Little Children","Drama","2006","137","15","7.5","75","115,554"
937,"Thor: Ragnarok","Action","2017","130","12A","7.9","74","800,942"
938,"Farrey","Crime","2023","130",NULL,"9.0",NULL,"5,725"
939,"Sideways","Comedy","2004","127","15","7.5","94","199,502"
940,"Fast & Furious 9","Action","2021","143","12A","5.2","58","157,599"
941,"Margin Call","Drama","2011","107","15","7.1","76","141,380"
942,"Step Brothers","Comedy","2008","98","15","6.9","51","313,115"
943,"Bohemian Rhapsody","Biography","2018","134","12A","7.9","49","575,772"
944,"The Blackout","Action","2019","127","15","6.0",NULL,"10,401"
945,"Just Go with It","Comedy","2011","117","12A","6.4","33","260,570"
946,"Interview with the Vampire: The Vampire Chronicles","Drama","1994","123","18","7.5","60","341,963"
947,"Mortal Kombat 2","Action",NULL,"N/A",NULL,NULL,NULL,"N/A"
948,"Captain America: The First Avenger","Action","2011","124","12A","6.9","66","883,003"
949,"Waiting","Comedy","2005","94","15","6.7","30","104,262"
950,"Wish Upon","Drama","2017","90","15","5.1","32","22,478"
951,"The Worst Person in the World","Comedy","2021","128","15","7.7","90","89,763"
952,"Green Lantern","Action","2011","114","12A","5.5","39","293,365"
953,"Never Say Never Again","Action","1983","134","12","6.1","68","71,955"
954,"Mafia Mamma","Action","2023","101","R","5.4","42","8,446"
955,"A View to a Kill","Action","1985","131","PG","6.3","40","103,268"
956,"Scrooge: A Christmas Carol","Animation","2022","96","PG","6.2","46","6,890"
957,"You Are So Not Invited to My Bat Mitzvah","Comedy","2023","103","12","6.0","71","21,898"
958,"The Impossible","Drama","2012","114","12A","7.5","73","237,671"
959,"Road House","Action","1989","114","18","6.7","36","83,306"
960,"Cruel Intentions","Drama","1999","97","15","6.8","56","201,523"
961,"Legend","Biography","2015","132","18","6.9","55","197,570"
962,"The Mist","Horror","2007","126","15","7.1","58","332,829"
963,"The Reader","Drama","2008","124","15","7.6","58","255,649"
964,"The Perks of Being a Wallflower","Drama","2012","103","12A","7.9","67","539,030"
965,"WALL·E","Animation","2008","98","U","8.4","95","1,176,261"
966,"Nocturnal Animals","Drama","2016","116","15","7.5","67","298,085"
967,"Psycho","Horror","1960","109","15","8.5","97","706,360"
968,"Forgotten Love","Drama","2023","140","12","7.5",NULL,"6,991"
969,"Love Again","Comedy","2023","104","12A","5.9","32","11,143"
970,"Suspiria","Drama","2018","152","18","6.7","64","89,192"
971,"Falling Down","Action","1993","113","18","7.6","56","202,448"
972,"Manchester by the Sea","Drama","2016","137","15","7.8","96","304,440"
973,"Red One","Action","2024","102",NULL,NULL,NULL,"N/A"
974,"Erin Brockovich","Biography","2000","131","15","7.4","73","214,319"
975,"Reign of Fire","Action","2002","101","12","6.2","39","143,724"
976,"Legally Blonde","Comedy","2001","96","12","6.4","59","240,030"
977,"Superman","Action","1978","143","A","7.4","82","184,570"
978,"Pan's Labyrinth","Drama","2006","118","15","8.2","98","693,971"
979,"Misery","Drama","1990","107","18","7.8","75","229,852"
980,"Memories of Murder","Crime","2003","131","15","8.1","82","207,730"
981,"The Lovely Bones","Drama","2009","135","12A","6.6","42","177,397"
982,"The Boogeyman","Horror","2023","98","15","5.9","55","39,334"
983,"Confess, Fletch","Comedy","2022","98","15","6.5","64","17,370"
984,"Caligula","Drama","1979","156","18","5.3",NULL,"37,800"
985,"Police Academy","Comedy","1984","96","15","6.7","41","134,869"
986,"Ernest Saves Christmas","Comedy","1988","95","U","5.7","44","12,472"
987,"Disquiet","Thriller","2023","85","15","3.8",NULL,"1,032"
988,"Train to Busan","Action","2016","118","15","7.6","73","247,444"
989,"Moulin Rouge!","Drama","2001","127","12A","7.6","66","295,933"
990,"Showing Up","Comedy","2022","107","12","6.4","85","3,495"
991,"3 Idiots","Comedy","2009","170","12A","8.4","67","423,273"
992,"The Place Beyond the Pines","Crime","2012","140","15","7.3","68","285,546"
993,"Jennifer's Body","Comedy","2009","102","15","5.5","47","147,549"
994,"Megalopolis","Drama",NULL,"N/A",NULL,NULL,NULL,"N/A"
995,"Dances with Wolves","Adventure","1990","181","12","8.0","72","284,686"
996,"A Quiet Place","Drama","2018","90","15","7.5","82","569,350"
997,"13 Hours","Action","2016","144","15","7.3","48","156,568"
998,"Chronicle","Action","2012","89","15","7.0","69","261,002"
999,"The Nun","Horror","2018","96","15","5.3","46","166,245"
1000,"Spider-Man: Homecoming","Action","2017","133","12A","7.4","73","703,641"
1001,"A Thousand and One","Crime","2023","117","15","7.0","81","5,079"
1002,"Bad Boys 4","Action","2024","N/A",NULL,NULL,NULL,"N/A"
1003,"Scary Movie","Comedy","2000","88","18","6.3","48","281,097"
1004,"Us","Horror","2019","116","15","6.8","81","332,006"
1005,"Butcher's Crossing","Drama","2022","105","R","5.7","55","2,291"
1006,"Dangerous Game: The Legacy Murders","Horror","2022","96","18","4.4",NULL,"1,728"
1007,"Star Wars: Episode VIII - The Last Jedi","Action","2017","152","12A","6.9","84","661,462"
1008,"Clue","Comedy","1985","94","PG","7.2","41","106,444"
1009,"The Butterfly Effect","Drama","2004","113","15","7.6","30","513,454"
1010,"Gone with the Wind","Drama","1939","238","PG","8.2","97","329,032"
1011,"Finestkind","Crime","2023","126","R","6.4","45","219"
1012,"Pirates of the Caribbean: Salazar's Revenge","Action","2017","129","12A","6.5","39","336,813"
1013,"X-Men: First Class","Action","2011","131","12A","7.7","65","715,308"
1014,"The Commuter","Action","2018","104","15","6.3","56","123,242"
1015,"Remember the Titans","Biography","2000","113","PG","7.8","48","228,207"
1016,"Speak No Evil","Drama","2022","97","Not Rated","6.6","78","33,248"
1017,"Minecraft","Action","2025","N/A",NULL,NULL,NULL,"N/A"
1018,"TRON: Legacy","Action","2010","125","PG","6.8","49","351,266"
1019,"Passengers","Drama","2016","116","12A","7.0","41","435,505"
1020,"Legend","Adventure","1985","94","PG","6.3","30","71,030"
1021,"A Time to Kill","Crime","1996","149","15","7.5","54","177,191"
1022,"First Blood","Action","1982","93","15","7.7","61","270,056"
1023,"This Is Spinal Tap","Comedy","1984","82","15","7.9","92","145,088"
1024,"Alita: Battle Angel","Action","2019","122","12A","7.3","53","287,595"
1025,"Coraline","Animation","2009","100","PG","7.7","80","257,398"
1026,"Moonlight","Drama","2016","111","15","7.4","99","325,662"
1027,"The Shape of Water","Drama","2017","123","15","7.3","87","440,705"
1028,"Dumb and Dumber","Comedy","1994","107","12","7.3","41","404,763"
1029,"Knight and Day","Action","2010","109","12A","6.3","46","207,627"
1030,"V for Vendetta","Action","2005","132","15","8.2","62","1,163,764"
1031,"Aladdin","Adventure","2019","128","PG","6.9","53","284,682"
1032,"2 Fast 2 Furious","Action","2003","107","15","5.9","38","292,113"
1033,"Another Round","Drama","2020","117","12A","7.7","79","185,395"
1034,"Hard Days","Crime","2023","118","15","6.0",NULL,"337"
1035,"Hunger","Drama","2023","146","15","6.6",NULL,"14,274"
1036,"Kick-Ass","Action","2010","117","15","7.6","66","585,541"
1037,"X-Men: Apocalypse","Action","2016","144","12A","6.9","52","454,542"
1038,"The Taste of Things","Drama","2023","145",NULL,"7.5","80","1,187"
1039,"The Mean One","Comedy","2022","93","15","3.7","29","930"
1040,"Master and Commander: The Far Side of the World","Action","2003","138","12A","7.5","81","234,078"
1041,"The Boy in the Striped Pyjamas","Drama","2008","94","12A","7.7","55","238,530"
1042,"Iron Man 3","Action","2013","130","12A","7.1","62","886,921"
1043,"Christmas at the Holly Day Inn","Comedy","2023","88","U","5.2",NULL,"97"
1044,"Underwater","Action","2020","95","15","5.9","48","92,274"
1045,"Kane","Crime","2023","90","R","4.2",NULL,"157"
1046,"Sixteen Candles","Comedy","1984","93","15","7.0","61","123,816"
1047,"Monty Python and the Holy Grail","Adventure","1975","91","12A","8.2","91","562,677"
1048,"Solo: A Star Wars Story","Action","2018","135","12A","6.9","62","371,761"
1049,"Fantastic Mr. Fox","Animation","2009","87","PG","7.9","83","262,146"
1050,"Star Trek","Action","2009","127","12A","7.9","82","616,182"
1051,"Blade","Action","1998","120","18","7.1","47","293,080"
1052,"Thor","Action","2011","115","12A","7.0","57","887,669"
1053,"What We Do in the Shadows","Comedy","2014","86","15","7.6","76","196,380"
1054,"Red Dawn","Action","1984","114","15","6.3","53","61,843"
1055,"Paddington 2","Adventure","2017","103","PG","7.8","88","89,381"
1056,"Sunshine","Sci-Fi","2007","107","15","7.2","64","263,067"
1057,"Waterloo","Action","1970","132","U","7.3",NULL,"12,025"
1058,"Dodgeball: A True Underdog Story","Comedy","2004","92","12A","6.7","55","263,044"
1059,"Foe","Drama","2023","110","15","5.3","44","2,209"
1060,"Rise of the Guardians","Animation","2012","97","PG","7.2","58","189,039"
1061,"Before Sunrise","Drama","1995","101","15","8.1","77","331,654"
1062,"Robin Hood: Prince of Thieves","Action","1991","143","PG-13","6.9","51","205,062"
1063,"Tetris","Biography","2023","118","15","7.4","61","74,554"
