id,title,genre,years,duration,rating,people_rating,critic_rating,votes
92,Scrooged,Comedy,1988,101,PG-13,6.9,38,"111,685"
93,Godzilla vs. Kong,Action,2021,113,PG-13,6.3,59,"229,795"
94,Past Lives,Drama,2023,105,PG-13,8,94,"46,822"
95,John Wick: Chapter 4,Action,2023,169,R,7.7,78,"305,893"
96,Dune,Action,2021,155,PG-13,8,74,"732,155"
97,Reptile,Crime,2023,134,R,6.8,52,"71,258"
98,It's a Wonderful Knife,Comedy,2023,87,R,5.3,51,"2,929"
99,Gladiator,Action,2000,155,R,8.5,67,"1,582,405"
100,Shin Godzilla,Action,2016,120,Not Rated,6.8,67,"32,504"
101,Hunter Killer,Action,2018,121,R,6.6,43,"70,689"
102,The Wolf of Wall Street,Biography,2013,180,R,8.2,75,"1,535,051"
103,The Godfather,Crime,1972,175,R,9.2,100,"1,972,058"
104,Ferrari,Biography,2023,130,R,6.6,74,"1,371"
105,I.S.S.,Sci-Fi,2023,95,R,7.1,,64
106,12th Fail,Biography,2023,147,,9.2,,"9,694"
107,The Hunger Games: Catching Fire,Action,2013,146,PG-13,7.5,76,"705,863"
108,Willy Wonka & the Chocolate Factory,Family,1971,100,G,7.8,67,"217,443"
109,Miracle on 34th Street,Drama,1994,114,PG,6.6,,"41,768"
110,Suicide Squad,Action,2016,123,PG-13,5.9,40,"712,879"
111,Feast of the Seven Fishes,Comedy,2019,99,,6.8,68,"2,518"
112,Sound of Freedom,Biography,2023,131,PG-13,7.7,36,"88,629"
113,Godzilla,Action,2014,123,PG-13,6.4,62,"431,728"
114,Charlie and the Chocolate Factory,Adventure,2005,115,PG,6.7,72,"512,758"
115,Uncle Buck,Comedy,1989,100,PG,7.1,51,"105,514"
116,Klaus,Animation,2019,96,PG,8.2,65,"176,896"
117,Jingle All the Way,Adventure,1996,89,PG,5.7,34,"112,390"
118,Office Christmas Party,Comedy,2016,105,R,5.9,42,"85,668"
119,Bottoms,Comedy,2023,91,R,6.8,74,"24,137"
120,A Christmas Carol,Animation,2009,96,PG,6.8,55,"125,987"
121,EXmas,Comedy,2023,93,,5.7,,"3,046"
122,Christmas with the Kranks,Comedy,2004,99,PG,5.4,22,"55,267"
123,The Dark Knight,Action,2008,152,PG-13,9,84,"2,810,720"
124,Prometheus,Adventure,2012,124,R,7,64,"634,670"
125,Gremlins,Comedy,1984,106,PG,7.3,70,"241,377"
126,Four Christmases,Comedy,2008,88,PG-13,5.7,41,"78,236"
127,Mean Girls,Comedy,2024,N/A,,,,N/A
128,The Naughty Nine,Adventure,2023,83,TV-PG,5.1,,"1,276"
129,Titanic,Drama,1997,194,PG-13,7.9,75,"1,256,710"
130,Watchmen,Action,2009,162,R,7.6,56,"573,690"
131,Argylle,Action,2024,135,PG-13,,,N/A
132,The Zone of Interest,Drama,2023,105,PG-13,8,94,"1,571"
133,The Santa Clause 2,Comedy,2002,104,G,5.7,48,"62,460"
134,The Lord of the Rings: The Fellowship of the Ring,Action,2001,178,PG-13,8.8,92,"1,964,154"
135,Christmas as Usual,Comedy,2023,88,TV-14,5.4,,"1,935"
136,Gladiator 2,Action,2024,N/A,,,,N/A
137,When Evil Lurks,Horror,2023,99,Not Rated,7,75,"16,248"
138,Blade Runner 2049,Action,2017,164,R,8,81,"636,190"
139,Asteroid City,Comedy,2023,105,PG-13,6.6,75,"89,764"
140,A Good Person,Drama,2023,128,R,7.1,50,"17,335"
141,Old Dads,Comedy,2023,104,R,6.2,42,"32,885"
142,Krampus,Comedy,2015,98,PG-13,6.2,49,"81,172"
143,The Boys in the Boat,Biography,2023,124,PG-13,,,N/A
144,Guardians of the Galaxy Vol. 3,Action,2023,150,PG-13,7.9,64,"350,235"
145,Fight Club,Drama,1999,139,R,8.8,67,"2,264,894"
146,The Marsh King's Daughter,Crime,2023,109,R,5.9,46,"4,390"
147,Gran Turismo,Action,2023,134,PG-13,7.2,48,"62,995"
148,Migration,Animation,2023,92,PG,7.2,,428
149,Fargo,Crime,1996,98,R,8.1,86,"710,595"
150,Pain Hustlers,Crime,2023,123,R,6.5,44,"31,327"
151,Dumb Money,Biography,2023,105,R,6.9,66,"20,252"
152,Saw X,Horror,2023,118,R,6.6,60,"58,606"
153,Priscilla,Biography,2023,113,R,7.1,78,"6,221"
154,Beetlejuice 2,Comedy,2024,N/A,,,,N/A
155,A Christmas Story Christmas,Comedy,2022,98,PG,6.7,55,"17,017"
156,Pulp Fiction,Crime,1994,154,R,8.9,95,"2,169,390"
157,Love,Drama,2015,135,TV-MA,6.1,51,"65,080"
158,Dungeons & Dragons: Honor Among Thieves,Action,2023,134,PG-13,7.3,72,"204,882"
159,Night Swim,Horror,2024,116,PG-13,,,N/A
160,Inception,Action,2010,148,PG-13,8.8,74,"2,494,998"
161,Avatar: The Way of Water,Action,2022,192,PG-13,7.6,67,"471,216"
162,L.A. Confidential,Crime,1997,138,R,8.2,91,"606,655"
163,The Family Plan,Action,2023,118,PG-13,,,N/A
164,The Family Stone,Comedy,2005,103,PG-13,6.3,56,"72,857"
165,The Oath,Action,2023,104,PG-13,3.6,,230
166,"Salò, or the 120 Days of Sodom",Drama,1975,117,TV-MA,5.8,,"64,514"
167,Godzilla: King of the Monsters,Action,2019,132,PG-13,6,48,"198,222"
168,The Jester,Horror,2023,90,,4.1,,911
169,Black Swan,Drama,2010,108,R,8,79,"808,110"
170,Top Gun: Maverick,Action,2022,130,PG-13,8.3,78,"645,991"
171,She's the Man,Comedy,2006,105,PG-13,6.4,45,"171,829"
172,Babylon,Comedy,2022,189,R,7.1,61,"154,462"
173,Inglourious Basterds,Adventure,2009,153,R,8.4,69,"1,544,854"
174,Fair Play,Drama,2023,113,R,6.4,73,"29,275"
175,Nyad,Biography,2023,121,PG-13,7.1,64,"12,828"
176,Joker: Folie à Deux,Crime,2024,N/A,,,,N/A
177,How the Gringo Stole Christmas,Comedy,2023,81,PG-13,3.2,,295
178,Home Alone 3,Action,1997,102,PG,4.6,,"124,078"
179,Good Burger 2,Comedy,2023,90,TV-PG,5.4,48,"2,224"
180,Death on the Nile,Crime,2022,127,PG-13,6.3,52,"179,550"
181,Raiders of the Lost Ark,Action,1981,115,PG,8.4,86,"1,021,092"
182,The Gentlemen,Action,2019,113,R,7.8,51,"377,175"
183,Pearl,Drama,2022,103,R,7,76,"82,595"
184,Please Don't Destroy: The Treasure of Foggy Mountain,Comedy,2023,92,R,6.1,49,"4,080"
185,Kingdom of the Planet of the Apes,Action,2024,N/A,,,,N/A
186,Django Unchained,Drama,2012,165,R,8.5,81,"1,655,901"
187,Naga,Drama,2023,111,TV-MA,4.9,,"4,267"
188,Mission Raniganj,Action,2023,134,,7.4,,"14,555"
189,Lucy,Action,2014,89,R,6.4,62,"524,921"
190,Bad Santa,Comedy,2003,92,R,7.1,70,"151,455"
191,Whiplash,Drama,2014,106,R,8.5,89,"951,097"
192,The Flash,Action,2023,144,PG-13,6.7,55,"189,955"
193,Midsommar,Drama,2019,148,R,7.1,72,"381,290"
194,Once Upon a Time in Hollywood,Comedy,2019,161,R,7.6,83,"813,560"
195,American Fiction,Comedy,2023,117,R,7.8,80,897
196,Uncharted,Action,2022,116,PG-13,6.3,45,"245,652"
197,Elemental,Animation,2023,101,PG,7,58,"101,700"
198,Eyes Wide Shut,Drama,1999,159,TV-MA,7.5,69,"366,177"
199,Fast X,Action,2023,141,PG-13,5.8,56,"104,772"
200,Fallen Leaves,Comedy,2023,81,,7.6,87,"5,101"
201,The Hunger Games: Mockingjay - Part 2,Action,2015,137,PG-13,6.5,65,"360,573"
202,The Muppet Christmas Carol,Comedy,1992,85,G,7.8,64,"66,533"
203,The Three Musketeers - Part I: D'Artagnan,Action,2023,121,,6.7,78,"14,855"
204,All of Us Strangers,Drama,2023,105,R,,91,N/A
205,The Menu,Comedy,2022,107,R,7.2,71,"364,725"
206,The Nightmare Before Christmas,Animation,1993,76,PG,7.9,82,"367,908"
207,Jack Frost,Comedy,1998,101,PG,5.4,40,"39,726"
208,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure,2005,143,PG,6.9,75,"419,563"
209,The Christmas Chronicles,Adventure,2018,104,PG,7,52,"80,463"
210,Expend4bles,Action,2023,103,R,4.8,30,"26,933"
211,Triangle of Sadness,Comedy,2022,147,R,7.3,63,"162,442"
212,Goodfellas,Biography,1990,145,R,8.7,92,"1,229,719"
213,Thank You for Coming,Comedy,2023,119,,4.9,68,"7,690"
214,Silver and the Book of Dreams,Drama,2023,92,,5.4,,767
215,The Northman,Action,2022,137,R,7,82,"241,811"
216,Requiem for a Dream,Drama,2000,102,Unrated,8.3,71,"883,175"
217,Transformers: Rise of the Beasts,Action,2023,127,PG-13,6.1,42,"90,639"
218,Parasite,Drama,2019,132,R,8.5,96,"909,637"
219,Kingdom of Heaven,Action,2005,144,R,7.2,63,"307,137"
220,The Covenant,Action,2023,123,R,7.5,63,"143,282"
221,Merry Little Batman,Animation,2023,92,,6.4,,"1,135"
222,American Pie,Comedy,1999,95,R,7,58,"426,838"
223,American Psycho,Crime,2000,102,R,7.6,64,"689,415"
224,Miracle on 34th Street,Comedy,1947,96,Not Rated,7.9,88,"52,676"
225,Léon: The Professional,Action,1994,110,R,8.5,64,"1,221,333"
226,Sing 2,Animation,2021,110,PG,7.4,49,"81,933"
227,Spider-Man: No Way Home,Action,2021,148,PG-13,8.2,71,"848,102"
228,There Will Be Blood,Drama,2007,158,R,8.2,93,"628,462"
229,The Hunger Games: Mockingjay - Part 1,Action,2014,123,PG-13,6.6,64,"489,758"
230,Joker,Crime,2019,122,R,8.4,59,"1,429,215"
231,Journey to Bethlehem,Adventure,2023,99,PG,6.2,,"1,044"
232,Se7en,Crime,1995,127,R,8.6,65,"1,756,305"
233,Bullet Train,Action,2022,127,R,7.3,49,"397,047"
234,Avengers: Endgame,Action,2019,181,PG-13,8.4,78,"1,231,842"
235,Wifelike,Sci-Fi,2022,105,R,4.9,,"3,628"
236,Harry Potter and the Goblet of Fire,Adventure,2005,157,PG-13,7.7,81,"666,128"
237,Don't Worry Darling,Drama,2022,123,R,6.3,48,"134,927"
238,The Whale,Drama,2022,117,R,7.7,60,"192,078"
239,The Matrix,Action,1999,136,R,8.7,73,"2,011,214"
240,Dashing Through the Snow,Comedy,2023,92,PG,5.5,,"2,247"
241,Mean Girls,Comedy,2004,97,PG-13,7.1,66,"417,249"
242,Heat,Action,1995,170,R,8.3,76,"702,158"
243,The Little Mermaid,Adventure,2023,135,PG,7.2,59,"145,934"
244,Little Women,Drama,2019,135,PG,7.8,91,"233,413"
245,Gone Girl,Drama,2014,149,R,8.1,79,"1,043,366"
246,The Goonies,Adventure,1985,114,PG,7.7,62,"292,599"
247,American Beauty,Drama,1999,122,R,8.3,84,"1,194,849"
248,Schindler's List,Biography,1993,195,R,9,95,"1,421,769"
249,The Departed,Crime,2006,151,R,8.5,85,"1,395,068"
250,Blockers,Comedy,2018,102,R,6.2,69,"83,977"
251,Shazam! Fury of the Gods,Action,2023,130,PG-13,6,47,"115,061"
252,The Wicker Man,Horror,1973,88,R,7.5,87,"89,846"
253,"Crazy, Stupid, Love.",Comedy,2011,118,PG-13,7.4,68,"551,550"
254,Last Call for Istanbul,Drama,2023,91,TV-MA,5.3,,"6,636"
255,No Time to Die,Action,2021,163,PG-13,7.3,68,"434,242"
256,The Silence of the Lambs,Crime,1991,118,R,8.6,86,"1,513,821"
257,Alien,Horror,1979,117,R,8.5,89,"930,489"
258,The Color Purple,Drama,1985,154,PG-13,7.7,78,"93,469"
259,The Big Lebowski,Comedy,1998,117,R,8.1,71,"846,553"
260,Fifty Shades of Grey,Drama,2015,125,R,4.2,46,"331,515"
261,Next Goal Wins,Comedy,2023,104,PG-13,6.5,44,"3,102"
262,Good Boys,Adventure,2019,90,R,6.7,,"79,713"
263,The Father,Drama,2020,97,PG-13,8.2,88,"182,529"
