id,title,genre,years,duration,rating,people_rating,critic_rating,votes
1733,See How They Run,Comedy,2022,98,PG-13,6.5,60,"61,122"
1734,The Waterboy,Comedy,1998,90,PG-13,6.1,41,"174,968"
1735,Climax,Drama,2018,97,R,6.9,67,"76,958"
1736,"Definitely, Maybe",Comedy,2008,112,PG-13,7.1,59,"171,738"
1737,David Holmes: The Boy Who Lived,Documentary,2023,87,,7.8,71,"2,038"
1738,You Should Have Left,Horror,2020,93,R,5.4,46,"24,786"
1739,X-Men: The Last Stand,Action,2006,104,PG-13,6.6,58,"534,528"
1740,Zoolander,Comedy,2001,90,PG-13,6.5,61,"287,030"
1741,Rampage,Action,2018,107,PG-13,6.1,45,"181,432"
1742,Mob Land,Action,2023,111,R,5.2,47,"1,812"
1743,The Incredible Hulk,Action,2008,112,PG-13,6.6,61,"516,561"
1744,Fire and Ice,Animation,1983,81,PG,6.5,45,"12,165"
1745,10 Cloverfield Lane,Drama,2016,103,PG-13,7.2,76,"348,299"
1746,The Amazing Spider-Man 2,Action,2014,142,PG-13,6.6,53,"528,126"
1747,The Conjuring 2,Horror,2016,134,R,7.3,65,"294,373"
1748,Infinite,Action,2021,106,PG-13,5.5,28,"59,122"
1749,A California Christmas,Comedy,2020,106,PG-13,5.8,,"11,078"
1750,Midway,Action,2019,138,PG-13,6.7,47,"92,558"
1751,G.I. Joe: The Rise of Cobra,Action,2009,118,PG-13,5.7,32,"213,787"
1752,Grindhouse,Action,2007,191,R,7.5,77,"189,589"
1753,The Sugarland Express,Crime,1974,110,PG,6.7,65,"18,713"
1754,Toy Story 2,Animation,1999,92,G,7.9,88,"609,615"
1755,Escape Room,Action,2019,99,PG-13,6.4,48,"138,250"
1756,The Contractor,Action,2022,103,R,5.8,52,"26,642"
1757,Transformers: Age of Extinction,Action,2014,165,PG-13,5.6,32,"328,297"
1758,Boston Strangler,Crime,2023,112,R,6.5,58,"30,374"
1759,Waitress,Comedy,2007,108,PG-13,7,75,"48,354"
1760,The Promised Land,Biography,2023,127,,7.8,75,"1,265"
1761,Sex Drive,Comedy,2008,109,R,6.5,49,"90,803"
1762,MaXXXine,Horror,2024,N/A,,,,N/A
1763,Gattaca,Drama,1997,106,PG-13,7.7,64,"318,263"
1764,Perfect Blue,Animation,1997,81,,8,67,"90,446"
1765,Who Framed Roger Rabbit,Animation,1988,104,PG,7.7,83,"213,189"
1766,Missing,Drama,2023,111,PG-13,7.1,66,"53,949"
1767,Yesterday,Comedy,2019,116,PG-13,6.8,55,"162,766"
1768,This Is the End,Comedy,2013,107,R,6.6,67,"429,718"
1769,Emma.,Comedy,2020,124,PG,6.7,71,"60,603"
1770,The Fall of Minneapolis,Documentary,2023,102,,8.3,,486
1771,Fifty Shades Darker,Drama,2017,118,R,4.6,33,"109,243"
1772,The Evil Dead,Horror,1981,85,NC-17,7.4,71,"228,863"
1773,Bruce Almighty,Comedy,2003,101,PG-13,6.8,46,"425,472"
1774,Sanctuary,Drama,2022,96,R,6.3,67,"6,699"
1775,Moneyball,Biography,2011,133,PG-13,7.6,87,"454,366"
1776,Bad Boys,Action,1995,119,R,6.8,41,"281,191"
1777,Revolutionary Road,Drama,2008,119,R,7.3,69,"222,298"
1778,Crimes of the Future,Drama,2022,107,R,5.8,67,"38,804"
1779,M*A*S*H,Comedy,1970,116,R,7.4,80,"75,956"
1780,Norbit,Comedy,2007,102,PG-13,4.2,27,"78,395"
1781,Hostiles,Drama,2017,134,R,7.2,65,"93,315"
1782,300: Rise of an Empire,Action,2014,102,R,6.2,48,"312,492"
1783,The Expendables,Action,2010,103,R,6.4,45,"360,968"
1784,The Chronicles of Riddick,Action,2004,119,R,6.6,38,"239,219"
1785,Species,Action,1995,108,R,5.9,49,"84,148"
1786,Big Trouble in Little China,Action,1986,99,PG-13,7.2,53,"150,897"
1787,Mandy,Action,2018,121,Not Rated,6.5,82,"87,010"
1788,The Long Kiss Goodnight,Action,1996,121,R,6.8,43,"84,069"
1789,The Girl on the Train,Crime,2016,112,R,6.5,48,"196,549"
1790,Footloose,Drama,1984,107,PG,6.6,42,"88,873"
1791,Moonstruck,Comedy,1987,102,PG,7.1,83,"65,686"
1792,Coming to America,Comedy,1988,117,R,7.1,47,"219,760"
1793,The Toxic Avenger,Action,2023,102,R,5.9,66,360
1794,Spectral,Action,2016,107,PG-13,6.3,,"63,456"
1795,Halloween,Horror,1978,91,R,7.7,87,"302,209"
1796,God Is a Bullet,Action,2023,156,18+,5.6,31,"4,454"
1797,Lie with Me,Drama,2005,93,Not Rated,5.2,,"16,467"
1798,The Living Daylights,Action,1987,130,PG,6.7,59,"104,327"
1799,American Made,Action,2017,115,R,7.1,65,"202,939"
1800,The Princess Switch,Comedy,2018,101,TV-PG,6.1,,"30,639"
1801,My Big Fat Greek Wedding,Comedy,2002,95,PG,6.6,62,"142,534"
1802,The Nutcracker,Family,1993,92,G,5.8,,"2,331"
1803,The School for Good and Evil,Action,2022,147,PG-13,5.9,30,"34,315"
1804,Lincoln,Biography,2012,150,PG-13,7.3,87,"269,572"
1805,"The Gangster, the Cop, the Devil",Action,2019,109,Not Rated,6.9,65,"20,842"
1806,Akira,Animation,1988,124,R,8,67,"200,277"
1807,The Homesman,Drama,2014,122,R,6.6,68,"34,997"
1808,Inside Man,Crime,2006,129,R,7.6,76,"391,551"
1809,Maleficent,Action,2014,97,PG,6.9,56,"394,909"
1810,Law Abiding Citizen,Action,2009,109,R,7.4,34,"313,614"
1811,"Paris, Texas",Drama,1984,145,R,8.1,81,"115,060"
1812,Despicable Me,Animation,2010,95,PG,7.6,72,"573,233"
1813,Mallrats,Comedy,1995,94,R,7,41,"127,520"
1814,Naked,Comedy,1993,131,Not Rated,7.7,85,"42,881"
1815,Predators,Action,2010,107,R,6.4,51,"241,043"
1816,Hellraiser,Horror,2022,121,R,5.9,55,"47,041"
1817,Watcher,Drama,2022,96,R,6.3,72,"38,599"
1818,Southpaw,Action,2015,124,R,7.3,57,"253,529"
1819,Drive-Away Dolls,Action,2024,84,R,,,N/A
1820,Metropolis,Drama,1927,153,Not Rated,8.3,98,"182,444"
1821,Pet Sematary: Bloodlines,Fantasy,2023,87,R,4.6,31,"8,979"
1822,The English Patient,Drama,1996,162,R,7.4,87,"197,708"
1823,Demolition Man,Action,1993,115,R,6.7,34,"189,630"
1824,Raya and the Last Dragon,Animation,2021,107,PG,7.3,74,"166,756"
1825,Palm Springs,Comedy,2020,90,R,7.4,83,"176,874"
1826,Spy Game,Action,2001,126,R,7.1,63,"164,829"
1827,Four Brothers,Action,2005,109,R,6.8,49,"154,562"
1828,Kindergarten Cop,Action,1990,111,PG-13,6.2,61,"159,426"
1829,Dogma,Adventure,1999,130,R,7.3,62,"225,992"
1830,The Hitman's Bodyguard,Action,2017,118,R,6.9,47,"243,282"
1831,Midnight in Paris,Comedy,2011,94,PG-13,7.6,81,"444,153"
1832,Boudica: Queen of War,Action,2023,101,R,4.4,,"1,539"
1833,La Chimera,Adventure,2023,130,,7.5,86,"1,236"
1834,Miranda's Victim,Biography,2023,127,,6.5,,705
1835,All Ladies Do It,Comedy,1992,93,Not Rated,5.2,,"5,900"
1836,Signs,Drama,2002,106,PG-13,6.8,59,"380,694"
1837,Under Siege 2: Dark Territory,Action,1995,100,R,5.5,52,"49,451"
1838,Sky High,Action,2005,100,PG,6.3,62,"93,159"
1839,Couples Retreat,Comedy,2009,113,PG-13,5.5,23,"113,621"
1840,Goldfinger,Action,1964,110,PG,7.7,87,"199,604"
1841,Double Jeopardy,Crime,1999,105,R,6.5,40,"93,681"
1842,Taken 2,Action,2012,92,PG-13,6.2,45,"318,784"
1843,"Not Tonight, Darling",Drama,1971,90,,3.7,,198
1844,The Punisher,Action,2004,124,R,6.4,33,"168,557"
1845,Funny Games,Crime,2007,111,R,6.5,44,"102,361"
1846,The Goddess,Drama,1958,104,Approved,6.6,,"1,062"
1847,Primer,Drama,2004,77,PG-13,6.7,68,"112,538"
1848,Changeland,Comedy,2019,86,R,5.8,42,"2,698"
1849,Vice,Biography,2018,132,R,7.2,61,"158,761"
1850,Days of Heaven,Drama,1978,94,PG,7.8,94,"61,536"
1851,The Last Airbender,Action,2010,103,PG,4,20,"169,889"
1852,Boyhood,Drama,2014,165,R,7.9,100,"364,283"
1853,Jason Bourne,Action,2016,123,PG-13,6.6,58,"238,563"
1854,Downton Abbey,Drama,2019,122,PG,7.4,64,"61,614"
1855,Luca,Animation,2021,95,PG,7.4,71,"185,188"
1856,Eastern Promises,Crime,2007,100,R,7.6,83,"256,650"
1857,Sling Blade,Drama,1996,135,R,8,84,"97,649"
1858,The Foreigner,Action,2017,113,R,7,55,"121,439"
1859,Serenity,Action,2005,119,PG-13,7.8,74,"303,397"
1860,Red Rocket,Comedy,2021,130,R,7.1,76,"30,218"
1861,Roald Dahl's Matilda the Musical,Comedy,2022,117,PG,7,72,"26,840"
1862,Gravity,Drama,2013,91,PG-13,7.7,96,"852,976"
1863,Exodus: Gods and Kings,Action,2014,150,PG-13,6,52,"175,778"
1864,The Invisible Guest,Crime,2016,106,TV-MA,8,,"188,690"
1865,Fear and Loathing in Las Vegas,Adventure,1998,118,R,7.5,41,"297,519"
1866,An American Werewolf in London,Comedy,1981,97,R,7.5,55,"117,933"
1867,Radical,Drama,2023,125,PG-13,8.1,70,"1,417"
1868,Ted 2,Comedy,2015,115,R,6.3,48,"226,948"
1869,Monster,Biography,2003,109,R,7.3,74,"159,329"
1870,50 First Dates,Comedy,2004,99,PG-13,6.8,48,"374,973"
1871,Close,Drama,2022,104,PG-13,7.8,81,"30,588"
1872,Father Stu,Biography,2022,124,R,6.5,40,"27,763"
1873,Rambo: First Blood Part II,Action,1985,96,R,6.5,47,"179,593"
1874,The Lost World: Jurassic Park,Action,1997,129,PG-13,6.5,59,"437,651"
1875,Picture of Beauty,Drama,2017,70,,3.4,,"1,628"
1876,In the Heart of the Sea,Action,2015,122,PG-13,6.9,47,"146,629"
1877,Insomnia,Drama,2002,118,R,7.2,78,"313,214"
1878,Alien: Resurrection,Action,1997,109,R,6.2,63,"259,581"
1879,Captain America: The Winter Soldier,Action,2014,136,PG-13,7.8,70,"886,121"
1880,Party Monster,Biography,2003,98,R,6.2,36,"17,000"
1881,The Man from Earth,Drama,2007,87,Not Rated,7.8,,"196,757"
1882,Black Mass,Biography,2015,123,R,6.9,68,"189,936"
1883,Ronin,Action,1998,122,R,7.2,67,"192,180"
1884,Big Hero 6,Animation,2014,102,PG,7.8,74,"491,142"
1885,The Thundermans Return,Action,2024,N/A,,,,N/A
1886,War Dogs,Biography,2016,114,R,7.1,57,"244,834"
1887,The Poughkeepsie Tapes,Horror,2007,81,R,6,,"23,690"
1888,Jujutsu Kaisen 0,Animation,2021,112,PG-13,7.8,71,"31,979"
1889,The Wailing,Drama,2016,156,TV-MA,7.4,81,"78,496"
1890,Skinamarink,Horror,2022,100,Not Rated,4.8,66,"13,962"
1891,Ocean's Thirteen,Crime,2007,122,PG-13,6.9,62,"362,547"
1892,West Side Story,Crime,1961,153,Approved,7.6,86,"119,369"
1893,She's Out of My League,Comedy,2010,104,R,6.4,46,"142,511"
1894,Kick-Ass 2,Action,2013,103,R,6.5,41,"284,869"
1895,Richie Rich,Comedy,1994,95,PG,5.4,49,"72,477"
1896,Don Jon,Comedy,2013,90,R,6.5,66,"245,407"
1897,A Bug's Life,Animation,1998,95,G,7.2,77,"309,293"
1898,The Cell,Crime,2000,107,R,6.4,40,"107,642"
1899,Logan Lucky,Action,2017,118,PG-13,7,78,"159,633"
1900,"Good Luck to You, Leo Grande",Comedy,2022,97,R,7.2,78,"34,859"
1901,Nomadland,Drama,2020,107,R,7.3,89,"177,207"
1902,Fatal Attraction,Drama,1987,119,R,6.9,67,"94,902"
1903,Terrifier 3,Horror,2024,N/A,,,,N/A
1904,The Lost Daughter,Drama,2021,121,R,6.7,86,"72,772"
1905,The Girl Next Door,Crime,2007,91,R,6.5,29,"28,821"
1906,The Teachers' Lounge,Drama,2023,98,PG-13,7.6,85,"2,276"
1907,Coherence,Drama,2013,89,Not Rated,7.2,65,"142,209"
1908,The Hurt Locker,Drama,2008,131,R,7.5,95,"468,334"
1909,Dick Tracy,Action,1990,105,PG,6.2,68,"64,897"
1910,The Lodge,Drama,2019,108,R,6,64,"54,670"
1911,The Outfit,Crime,2022,105,R,7.2,69,"59,862"
1912,Tarzan,Animation,1999,88,G,7.3,79,"242,297"
1913,Road Trip,Comedy,2000,93,R,6.5,55,"175,886"
1914,Through My Window,Comedy,2022,116,TV-MA,5.5,,"16,076"
1915,The Name of the Rose,Drama,1986,130,R,7.7,54,"114,927"
1916,Thunderball,Action,1965,130,PG,6.9,64,"125,206"
1917,Sex Tape,Comedy,2014,94,R,5.1,36,"116,744"
1918,Flash Gordon,Action,1980,111,PG,6.5,58,"60,338"
1919,Scream 4,Comedy,2011,111,R,6.2,52,"168,282"
1920,Moonfall,Action,2022,130,PG-13,5.1,41,"95,370"
1921,Dallas Buyers Club,Biography,2013,117,R,7.9,77,"511,386"
1922,Blow,Biography,2001,124,R,7.5,52,"271,722"
1923,Maybe I Do,Comedy,2023,95,PG-13,4.9,42,"7,471"
1924,Back to the Future Part II,Adventure,1989,108,PG,7.8,57,"562,554"
1925,The Tragedy of Macbeth,Drama,2021,105,R,7.1,87,"38,436"
1926,Contagion,Drama,2011,106,PG-13,6.8,70,"312,619"
1927,The Golden Compass,Adventure,2007,113,PG-13,6.1,51,"195,097"
1928,Brazil,Drama,1985,132,R,7.9,84,"208,697"
1929,Pineapple Express,Action,2008,111,R,6.9,64,"353,349"
1930,La haine,Crime,1995,98,Not Rated,8.1,,"190,524"
1931,No Strings Attached,Comedy,2011,108,R,6.2,50,"241,144"
1932,The Warriors,Action,1979,93,R,7.5,65,"108,598"
1933,The Guilty,Crime,2021,90,R,6.3,63,"143,213"
1934,Death Becomes Her,Comedy,1992,104,PG-13,6.6,56,"128,478"
1935,Influencer,Horror,2022,92,,6.1,66,"10,706"
1936,Walk the Line,Biography,2005,136,PG-13,7.8,72,"262,266"
1937,Tremors,Comedy,1990,96,PG-13,7.1,65,"146,934"
1938,Big Daddy,Comedy,1999,93,PG-13,6.4,41,"230,187"
1939,The Texas Chain Saw Massacre,Horror,1974,83,R,7.4,89,"179,706"
1940,This Is Where I Leave You,Comedy,2014,103,R,6.6,44,"87,511"
1941,Battleship,Action,2012,131,PG-13,5.8,41,"255,200"
1942,Warhorse One,Action,2023,126,R,5.3,,"1,407"
1943,The Boy Next Door,Thriller,2015,91,R,4.7,30,"44,716"
1944,Finch,Adventure,2021,115,PG-13,6.9,57,"93,530"
1945,1984,Drama,1984,113,R,7.1,67,"77,452"
1946,Cinema Paradiso,Drama,1988,155,PG,8.5,80,"276,977"
1947,Barbershop,Comedy,2002,102,PG-13,6.3,66,"33,120"
1948,Resident Evil: Welcome to Raccoon City,Action,2021,107,R,5.2,44,"61,902"
1949,The Jungle Book,Animation,2016,106,PG,7.4,77,"288,450"
1950,Glass,Drama,2019,129,PG-13,6.6,43,"261,635"
1951,Moon,Drama,2009,97,R,7.8,67,"372,301"
1952,Cars 2,Animation,2011,106,G,6.2,57,"210,765"
1953,Juror #2,Thriller,,N/A,,,,N/A
1954,Anaconda,Action,1997,89,PG-13,4.9,37,"110,201"
1955,Terminator Salvation,Action,2009,115,PG-13,6.5,49,"373,863"
1956,Curtains,Horror,1983,89,R,5.6,,"5,550"
1957,Jurassic World: Fallen Kingdom,Action,2018,128,PG-13,6.1,51,"337,114"
1958,The Bachelor Party,Drama,1957,92,Approved,6.7,,823
1959,Nuovo Olimpo,Drama,2023,113,TV-MA,7.2,,"3,526"
1960,I Know What You Did Last Summer,Horror,1997,101,R,5.8,52,"156,017"
1961,Mickey 17,Adventure,2024,N/A,,,,N/A
1962,Doc Hollywood,Comedy,1991,104,PG-13,6.3,56,"39,804"
1963,Dogville,Crime,2003,178,R,8,61,"156,334"
1964,The Faculty,Horror,1998,104,R,6.6,61,"132,918"
1965,The American Society of Magical Negroes,Comedy,2024,104,,,,N/A
1966,The Secret in Their Eyes,Drama,2009,129,R,8.2,80,"219,094"
1967,Adventures in Babysitting,Adventure,1987,102,PG-13,6.9,45,"48,084"
1968,Now You See Me 2,Action,2016,129,PG-13,6.4,46,"313,791"
1969,Somebody I Used to Know,Comedy,2023,106,R,5.7,57,"7,677"
1970,Bird Box,Horror,2018,124,R,6.6,51,"376,477"
1971,My Best Friend's Wedding,Comedy,1997,105,PG-13,6.3,50,"151,820"
1972,The Holy Mountain,Adventure,1973,114,16+,7.8,76,"46,935"
1973,Cheeky,Comedy,2000,91,Not Rated,5.4,,"6,300"
1974,The Interview,Action,2014,112,R,6.5,52,"348,364"
1975,The Edge of Seventeen,Comedy,2016,104,R,7.3,77,"137,667"
1976,Snow White and the Huntsman,Action,2012,127,PG-13,6.1,57,"299,380"
1977,Desperado,Action,1995,104,R,7.1,55,"194,805"
1978,The Strangers,Horror,2008,86,R,6.1,47,"140,797"
1979,Imaginary,Horror,2024,N/A,,,,N/A
1980,The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure,2010,113,PG,6.3,53,"163,473"
1981,The Naked Gun: From the Files of Police Squad!,Comedy,1988,85,PG-13,7.6,76,"180,731"
1982,Elektra,Action,2005,97,PG-13,4.7,34,"96,678"
1983,Mortal World,Action,2018,107,,7.6,,"29,856"
1984,Hocus Pocus,Comedy,1993,96,PG,6.9,43,"154,339"
1985,I See You,Drama,2019,98,R,6.8,65,"63,711"
1986,The Counselor,Action,2013,117,R,5.4,48,"104,936"
1987,Chef,Adventure,2014,114,R,7.3,68,"227,299"
1988,Palmer,Drama,2021,110,R,7.3,53,"41,886"
1989,Bedazzled,Comedy,2000,93,PG-13,6.1,49,"110,767"
1990,The Ref,Comedy,1994,97,R,6.9,59,"26,060"
1991,Shallow Hal,Comedy,2001,114,PG-13,6,48,"142,032"
1992,The Girl Who Escaped: The Kara Robinson Story,Crime,2023,88,TV-14,6.2,,"3,204"
1993,Atlantis: The Lost Empire,Animation,2001,95,PG,6.9,52,"130,897"
1994,The Karate Kid,Action,2010,140,PG,6.2,61,"200,844"
1995,Life of Pi,Adventure,2012,127,PG,7.9,79,"657,376"
1996,Army of Thieves,Action,2021,127,TV-MA,6.4,49,"85,974"
1997,Avengers: Secret Wars,Action,2027,N/A,,,,N/A
1998,St. Elmo's Fire,Drama,1985,110,R,6.4,35,"45,433"
1999,Dr. No,Action,1962,110,PG,7.2,78,"176,788"
2000,The Wind Rises,Animation,2013,126,PG-13,7.7,83,"94,724"
2001,Invasion of the Body Snatchers,Horror,1978,115,PG,7.4,75,"67,817"
2002,Afire,Comedy,2023,102,,7.3,82,"4,407"
2003,Happy Feet,Animation,2006,108,PG,6.4,77,"196,975"
2004,Mona Lisa Smile,Drama,2003,117,PG-13,6.5,45,"88,669"
2005,The Wedding Singer,Comedy,1998,97,PG-13,6.9,59,"159,710"
2006,Ticket to Paradise,Comedy,2022,104,PG-13,6.1,50,"60,502"
2007,Robin Hood: Men in Tights,Adventure,1993,104,PG-13,6.7,44,"134,162"
2008,The Birdcage,Comedy,1996,117,R,7.2,72,"97,924"
2009,Mamma Mia! Here We Go Again,Comedy,2018,114,PG-13,6.6,60,"105,373"
2010,After Hours,Comedy,1985,97,R,7.6,90,"78,242"
2011,The Great Escape,Adventure,1963,172,Approved,8.2,86,"255,153"
2012,Ant-Man,Action,2015,117,PG-13,7.3,64,"709,963"
2013,RoboCop 2,Action,1990,117,R,5.8,42,"91,426"
2014,The Princess and the Frog,Animation,2009,97,G,7.1,73,"162,220"
2015,Return to Oz,Adventure,1985,113,PG,6.7,42,"29,779"
2016,A Merry Friggin' Christmas,Comedy,2014,88,PG-13,5.1,28,"7,910"
2017,The Blair Witch Project,Horror,1999,81,R,6.5,81,"280,063"
2018,A Little Princess,Drama,1995,97,G,7.6,83,"36,202"
2019,Lamborghini: The Man Behind the Legend,Biography,2022,97,R,5.4,,"10,308"
2020,Dark City,Fantasy,1998,100,R,7.6,66,"209,561"
2021,Dark Phoenix,Action,2019,113,PG-13,5.7,43,"200,497"
2022,The Skin I Live In,Drama,2011,120,R,7.6,70,"162,894"
2023,The Purge,Horror,2013,85,R,5.7,41,"236,478"
2024,About a Boy,Comedy,2002,101,PG-13,7.1,75,"189,925"
2025,Das Boot,Drama,1981,149,,8.4,85,"260,848"
2026,The Ritual,Horror,2017,94,TV-MA,6.3,57,"115,204"
2027,Silverado,Action,1985,133,PG-13,7.2,64,"48,034"
2028,Mufasa: The Lion King,Adventure,2024,N/A,,,,N/A
2029,Girls to Buy,Drama,2021,146,,5.3,,"2,734"
2030,Hellboy,Action,2019,120,R,5.2,31,"96,356"
2031,Singin' in the Rain,Comedy,1952,103,G,8.3,99,"255,737"
2032,Hollow Man,Action,2000,112,R,5.8,24,"136,731"
2033,Triple 9,Action,2016,115,R,6.3,52,"75,899"
2034,17 Again,Comedy,2009,102,PG-13,6.4,48,"213,161"
2035,Bad Moms,Comedy,2016,100,R,6.2,60,"132,822"
2036,Peppermint,Action,2018,101,R,6.5,29,"69,525"
2037,Hell House LLC,Horror,2015,93,Not Rated,6.4,,"22,743"
2038,Bill & Ted's Excellent Adventure,Adventure,1989,90,PG,6.9,50,"139,622"
2039,Project X,Comedy,2012,88,R,6.7,46,"227,808"
2040,Christmas with You,Comedy,2022,89,TV-PG,5.6,39,"7,287"
2041,Super 8,Action,2011,112,PG-13,7,72,"364,602"
2042,Mortal Engines,Action,2018,128,PG-13,6.1,44,"136,289"
2043,Mr. Nobody,Drama,2009,141,R,7.7,63,"243,215"
2044,WarGames,Action,1983,114,PG,7.1,77,"108,496"
2045,The Wonder,Drama,2022,108,R,6.6,71,"42,087"
2046,The Hot Chick,Comedy,2002,104,PG-13,5.5,29,"101,068"
2047,Stepmom,Comedy,1998,125,PG-13,6.8,58,"73,422"
2048,Sukhee,Drama,2023,139,,6.8,,"7,558"
2049,Spencer,Biography,2021,117,R,6.6,76,"74,965"
2050,Into the Woods,Adventure,2014,125,PG,5.9,69,"146,564"
2051,Moonrise Kingdom,Adventure,2012,94,PG-13,7.8,84,"363,529"
2052,Body Heat,Crime,1981,113,R,7.4,77,"39,420"
2053,Cold Mountain,Adventure,2003,154,R,7.2,73,"154,326"
2054,"O Brother, Where Art Thou?",Adventure,2000,107,PG-13,7.7,69,"325,872"
2055,The Glass Bottom Boat,Comedy,1966,110,Approved,6.4,,"5,117"
2056,Last Sentinel,Drama,2023,117,,5,,"4,975"
2057,V for Vengeance,Action,2022,86,R,4.1,,950
2058,Unbroken,Action,2014,137,PG-13,7.2,59,"179,501"
2059,From Russia with Love,Action,1963,115,PG,7.3,83,"142,994"
2060,Last Summer,Drama,2023,104,,6.7,63,534
2061,Bridge of Spies,Drama,2015,142,PG-13,7.6,81,"324,035"
2062,The Nutcracker: The Untold Story,Action,2010,110,PG,4.1,18,"4,094"
2063,Ballerina,Action,2023,92,TV-MA,6.2,,"9,229"
2064,Teenage Mutant Ninja Turtles,Action,1990,93,PG,6.8,51,"103,072"
2065,Jerry and Marge Go Large,Biography,2022,96,PG-13,6.9,52,"21,256"
2066,The Terminal,Comedy,2004,128,PG-13,7.4,55,"486,238"
2067,The Bodyguard,Action,1992,129,R,6.3,39,"144,931"
2068,Heathers,Comedy,1988,103,R,7.2,72,"113,292"
2069,Enter the Void,Drama,2009,161,Not Rated,7.2,69,"86,454"
2070,Shiva Baby,Comedy,2020,77,Not Rated,7.1,79,"30,543"
2071,Terrified,Horror,2017,87,Not Rated,6.5,,"20,559"
2072,Homefront,Action,2013,100,R,6.5,40,"127,747"
2073,Coyote Ugly,Comedy,2000,100,PG-13,5.7,27,"119,672"
2074,Shrapnel,Action,2023,89,R,4.9,,757
2075,Get Smart,Action,2008,110,PG-13,6.5,54,"226,227"
2076,Sly,Documentary,2023,95,R,7,62,"8,689"
2077,Gone Baby Gone,Crime,2007,114,R,7.6,72,"284,903"
2078,Maleficent: Mistress of Evil,Adventure,2019,119,PG,6.6,43,"115,962"
2079,Dennis the Menace,Comedy,1993,94,PG,5.6,49,"63,979"
2080,The World Is Not Enough,Action,1999,128,PG-13,6.4,57,"207,919"
2081,Murder Mystery 2,Action,2023,90,PG-13,5.7,44,"64,020"
2082,Tomorrow Never Dies,Action,1997,119,PG-13,6.5,52,"202,491"
2083,The Garden of Eden,Drama,2008,111,R,5.2,28,"1,134"
2084,Jacob's Ladder,Drama,1990,113,R,7.4,62,"116,152"
2085,Austin Powers in Goldmember,Action,2002,94,PG-13,6.2,62,"220,008"
2086,Long Shot,Comedy,2019,125,R,6.8,67,"119,349"
2087,Barbarella,Adventure,1968,98,Approved,5.8,51,"37,074"
2088,Never Let Me Go,Drama,2010,103,R,7.1,69,"151,402"
2089,The Right Stuff,Adventure,1983,193,PG,7.8,91,"64,473"
2090,Original Sin,Drama,2001,116,R,6,33,"59,088"
2091,Scary Movie 2,Comedy,2001,83,R,5.3,29,"172,374"
2092,Lolita,Crime,1962,153,Not Rated,7.5,79,"107,154"
2093,Sister Act 2: Back in the Habit,Comedy,1993,107,PG,5.7,38,"57,505"
2094,Mank,Biography,2020,131,R,6.8,79,"81,152"
2095,Cry-Baby,Comedy,1990,85,PG-13,6.5,63,"63,926"
2096,Zombieland: Double Tap,Action,2019,99,R,6.7,55,"195,892"
2097,Brave,Animation,2012,93,PG,7.1,69,"434,185"
2098,U-571,Action,2000,116,PG-13,6.6,62,"85,921"
2099,Triangle,Fantasy,2009,99,R,6.9,,"126,589"
2100,Billy Madison,Comedy,1995,89,PG-13,6.3,16,"153,812"
2101,Central Intelligence,Action,2016,107,PG-13,6.3,52,"207,999"
2102,Memory,Action,2022,114,R,5.7,41,"33,437"
2103,Five Feet Apart,Drama,2019,116,PG-13,7.2,53,"79,625"
2104,The First Wives Club,Comedy,1996,103,PG,6.4,58,"53,135"
2105,You Hurt My Feelings,Comedy,2023,93,R,6.6,80,"8,794"
2106,Role Models,Comedy,2008,99,R,6.8,61,"238,931"
2107,Burnt,Comedy,2015,101,R,6.6,42,"130,141"
2108,Wild Tales,Comedy,2014,122,R,8.1,77,"211,898"
2109,Licence to Kill,Action,1989,133,PG-13,6.6,58,"110,439"
2110,Megamind,Animation,2010,95,PG,7.3,63,"287,384"
2111,The Eight Mountains,Drama,2022,147,Not Rated,7.7,78,"12,117"
2112,The Fighter,Action,2010,116,R,7.8,79,"384,230"
2113,A History of Violence,Action,2005,96,R,7.4,82,"249,620"
2114,Security,Action,2017,88,R,5.7,,"21,340"
2115,The Age of Innocence,Drama,1993,139,PG,7.2,90,"66,046"
2116,Pitch Perfect 2,Comedy,2015,115,PG-13,6.4,63,"167,848"
2117,The Harrad Experiment,Comedy,1973,97,R,4.6,,883
2118,Ponyo,Animation,2008,101,G,7.6,86,"157,426"
2119,The Knight Before Christmas,Adventure,2019,92,TV-PG,5.6,,"19,814"
2120,A Silent Voice: The Movie,Animation,2016,130,Not Rated,8.1,78,"96,084"
2121,Magic Mike's Last Dance,Comedy,2023,112,R,5.2,52,"15,126"
2122,Run Hide Fight,Action,2020,109,TV-MA,6.3,13,"26,424"
2123,Moana,Adventure,2025,N/A,,,,N/A
2124,To Kill a Mockingbird,Crime,1962,129,Approved,8.3,88,"328,480"
2125,American Assassin,Action,2017,111,R,6.2,45,"87,603"
2126,Dear John,Drama,2010,108,PG-13,6.3,43,"156,083"
2127,Snow White and the Seven Dwarfs,Animation,1937,83,Approved,7.6,96,"212,018"
2128,Forgetting Sarah Marshall,Comedy,2008,111,R,7.1,67,"298,584"
2129,Breakfast at Tiffany's,Comedy,1961,115,Approved,7.6,76,"189,212"
2130,Manhunter,Crime,1986,120,R,7.2,75,"79,262"
